NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,1,0,0,6,4,0,16
BEAUFONT,0,0,0,9,4,5,12,8,44
BELLE AND MAYO ISLANDS,0,0,0,6,0,3,4,1,38
BELLEMEADE,2,1,8,99,28,44,85,44,374
BELLEVUE,0,1,0,5,6,5,33,8,52
BELMONT WOODS,0,0,1,6,0,0,2,3,9
BELT CENTER,2,4,4,40,5,26,163,39,287
BIOTECH AND MCV DISTRICT,0,0,0,6,3,4,17,0,86
BLACKWELL,0,3,8,67,10,31,101,21,228
BRAUERS,0,0,4,13,7,18,23,9,71
BRITISH CAMP FARMS,2,3,4,47,7,12,58,7,158
BROAD ROCK,3,4,10,64,16,45,73,20,264
BROAD ROCK INDUSTRIAL PARK,0,0,0,3,2,0,10,2,39
BROAD ROCK SPORTS COMPLEX,0,0,1,4,0,2,3,0,14
BROOKBURY,0,0,0,4,1,3,14,2,22
BROOKHAVEN FARMS,0,2,0,8,2,0,6,1,30
BROOKLAND PARK,1,0,6,39,12,19,37,14,171
BRYAN PARK,0,0,0,1,0,1,1,0,11
BYRD PARK,0,0,0,8,7,4,32,2,62
CAPITOL DISTRICT,0,1,2,18,1,4,17,5,193
CARILLON,0,0,0,2,0,1,18,2,27
CARVER,1,3,2,29,11,14,111,11,278
CARYTOWN,0,1,5,24,13,4,95,6,221
CEDARHURST,0,0,1,29,16,5,40,21,97
CENTRAL OFFICE,0,1,0,8,1,0,23,3,97
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,4,31,7,50,50,7,203
CHERRY GARDENS,0,0,0,4,1,1,6,1,15
CHIMBORAZO,0,0,2,15,6,5,46,18,84
CHIPPENHAM FOREST,0,5,2,58,0,14,116,12,153
CHURCH HILL,0,0,5,17,8,11,75,16,132
CHURCH HILL NORTH,2,4,4,70,12,22,83,28,261
CITY CENTER,1,4,3,57,4,13,104,14,239
COFER,0,0,0,20,10,11,29,9,73
COLONIAL PLACE,0,0,0,4,4,1,19,7,39
COMMERCE ROAD INDUSTRIAL AREA,0,0,0,5,1,8,26,5,56
COTTRELL FARMS,0,0,2,11,3,2,24,4,70
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,1,2,1,7
CREIGHTON,1,2,10,85,41,41,35,21,266
CULLENWOOD,0,0,0,9,2,0,8,1,11
DAVEE GARDENS,0,0,1,15,1,5,6,7,31
DEERBOURNE,0,1,0,9,3,2,21,3,47
EASTVIEW,2,0,6,13,3,7,24,8,65
EDGEWOOD,0,1,1,11,3,13,16,6,62
ELKHARDT,0,1,2,32,2,1,48,11,110
FAIRFIELD,0,0,5,85,9,32,36,10,181
FAIRMOUNT,0,1,8,37,7,32,89,13,199
FAWNBROOK,0,0,1,3,1,2,4,3,22
FOREST HILL,0,1,0,5,2,3,33,4,45
FOREST HILL PARK,0,0,0,0,0,1,2,0,6
FOREST HILL TERRACE,0,0,1,2,6,3,27,4,45
FOREST VIEW,0,0,2,20,4,3,24,8,53
FULTON,1,2,14,83,61,37,159,57,394
GAMBLES HILL,0,0,0,5,0,12,34,2,49
GILPIN,1,4,6,157,17,151,57,20,598
GINTER PARK,0,5,4,87,27,63,97,10,404
GINTER PARK TERRACE,0,0,0,5,0,1,9,1,19
GRAVEL HILL,0,0,0,8,3,2,51,3,72
GREEN PARK,0,0,1,8,6,7,18,7,68
HICKORY HILL,0,0,2,21,13,7,16,4,73
HIGHLAND PARK SOUTHERN TIP,0,5,2,80,10,37,67,11,220
HIGHLAND TERRACE,2,0,2,20,2,34,14,4,98
HILLSIDE COURT,2,3,1,67,9,34,24,9,194
HIOAKS,1,2,4,39,3,14,52,14,193
HOLLYWOOD CEMETERY,0,0,0,3,0,1,3,0,7
HUGUENOT,0,0,0,5,3,1,25,2,60
JACKSON WARD,0,4,6,46,16,24,170,18,345
JAHNKE,0,4,6,44,19,10,102,22,210
JEFF DAVIS,2,8,28,143,40,99,242,19,643
JOHN MARSHALL,0,1,0,49,2,18,32,3,118
LABURNUM PARK,0,0,0,0,2,0,9,1,6
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,2,7,0,0,30
MALVERN GARDENS,0,1,0,1,1,0,21,5,23
MANCHESTER,0,1,4,30,6,7,81,16,153
MARY MUNFORD,0,1,0,2,1,0,17,1,16
MAURY,0,0,0,3,2,9,12,3,40
MAYMONT,0,0,0,11,1,3,20,6,36
MAYMONT PARK,0,0,0,0,0,0,12,1,5
