NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,0,0,6,9,1,16
BEAUFONT,0,2,2,9,6,2,13,5,33
BELLE AND MAYO ISLANDS,0,0,0,1,2,1,15,0,8
BELLEMEADE,3,5,13,116,41,39,94,41,298
BELLEVUE,0,0,0,10,10,5,41,7,49
BELMONT WOODS,0,0,0,6,2,0,4,2,13
BELT CENTER,0,1,18,39,22,15,122,15,185
BIOTECH AND MCV DISTRICT,0,3,4,9,1,25,34,18,127
BLACKWELL,2,6,25,85,33,69,96,25,268
BRAUERS,0,2,7,22,11,8,28,10,49
BRITISH CAMP FARMS,0,2,16,69,18,6,39,12,93
BROAD ROCK,0,1,18,72,23,55,78,10,175
BROAD ROCK INDUSTRIAL PARK,0,1,3,5,1,9,12,2,18
BROAD ROCK SPORTS COMPLEX,0,0,0,1,2,0,0,1,6
BROOKBURY,0,0,1,5,1,5,8,3,16
BROOKHAVEN FARMS,2,0,3,9,5,2,60,6,18
BROOKLAND PARK,0,2,12,49,23,21,71,35,199
BRYAN PARK,0,1,0,0,0,0,2,0,6
BYRD PARK,0,1,4,19,8,16,31,10,90
CAPITOL DISTRICT,0,2,5,12,2,6,34,9,75
CARILLON,0,0,1,8,1,5,17,5,29
CARVER,0,0,13,49,17,10,181,38,168
CARYTOWN,0,1,11,25,42,5,159,12,189
CEDARHURST,2,0,3,28,28,1,40,10,86
CENTRAL OFFICE,0,0,3,5,2,3,37,5,60
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,13,43,38,16,67,29,110
CHERRY GARDENS,0,0,0,2,1,0,1,3,10
CHIMBORAZO,0,3,5,46,16,14,34,12,95
CHIPPENHAM FOREST,0,2,8,49,17,8,175,19,139
CHURCH HILL,2,2,17,42,28,37,95,37,159
CHURCH HILL NORTH,2,1,17,69,29,40,84,47,215
CITY CENTER,0,2,21,38,24,42,132,22,206
COFER,0,0,2,19,29,0,25,8,38
COLONIAL PLACE,0,0,1,1,29,0,28,2,47
COMMERCE ROAD INDUSTRIAL AREA,0,0,8,10,4,11,38,15,39
COTTRELL FARMS,1,1,3,22,3,1,30,7,49
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,4,0,2
CREIGHTON,4,5,18,149,37,83,71,20,235
CULLENWOOD,0,0,0,8,4,1,5,6,25
DAVEE GARDENS,0,3,1,22,6,12,13,7,51
DEERBOURNE,0,3,3,16,5,2,14,11,45
EASTVIEW,0,2,6,14,2,4,21,4,59
EDGEWOOD,0,0,2,18,8,3,30,23,69
ELKHARDT,0,0,8,36,7,4,36,19,90
FAIRFIELD,3,5,6,111,47,75,52,25,215
FAIRMOUNT,0,6,20,96,20,64,74,16,174
FAWNBROOK,0,0,0,4,1,0,8,3,23
FOREST HILL,0,0,0,4,7,3,49,6,44
FOREST HILL PARK,0,0,0,1,0,0,2,0,4
FOREST HILL TERRACE,0,0,3,3,8,0,49,4,36
FOREST VIEW,0,1,8,13,14,3,24,5,43
FULTON,4,8,20,168,36,84,125,62,412
GAMBLES HILL,0,0,0,2,0,0,11,1,11
GILPIN,3,7,30,244,27,207,78,25,480
GINTER PARK,1,7,28,99,67,49,188,78,274
GINTER PARK TERRACE,0,2,0,5,3,2,7,7,22
GRAVEL HILL,0,0,4,11,8,3,66,3,39
GREEN PARK,0,0,3,16,7,3,10,22,73
HICKORY HILL,2,2,8,27,23,9,25,15,83
HIGHLAND PARK SOUTHERN TIP,2,2,17,73,42,52,71,36,205
