NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,1,5,2,8,3,2,10
BEAUFONT,0,3,1,12,2,5,6,5,47
BELLE AND MAYO ISLANDS,0,0,0,0,1,0,4,1,2
BELLEMEADE,2,6,14,137,54,49,139,61,384
BELLEVUE,0,0,5,8,17,2,123,15,66
BELMONT WOODS,0,2,1,4,0,2,2,0,17
BELT CENTER,1,2,23,40,18,14,238,33,346
BIOTECH AND MCV DISTRICT,0,8,19,198,22,120,142,37,2481
BLACKWELL,1,3,15,88,39,43,132,39,568
BRAUERS,0,1,3,15,3,10,14,11,44
BRITISH CAMP FARMS,0,4,13,62,11,4,92,11,104
BROAD ROCK,1,2,11,100,48,37,110,39,234
BROAD ROCK INDUSTRIAL PARK,0,0,3,16,3,5,10,10,26
BROOKBURY,0,0,2,1,2,0,10,2,18
BROOKHAVEN FARMS,0,0,0,0,0,0,0,0,2
BROOKLAND PARK,0,1,9,57,19,24,50,27,210
BRYAN PARK,0,0,0,1,0,2,4,1,38
BYRD PARK,0,1,4,26,17,15,28,9,88
CAPITOL DISTRICT,0,0,1,26,3,7,70,15,134
CARILLON,0,0,2,8,8,1,25,7,27
CARVER,0,3,7,43,26,13,74,18,157
CARYTOWN,0,1,14,29,36,11,180,11,194
CEDARHURST,0,1,10,35,16,4,55,17,90
CENTRAL OFFICE,0,1,1,13,4,1,79,9,61
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,10,51,28,14,80,20,141
CHERRY GARDENS,0,1,0,3,1,2,3,1,11
CHIMBORAZO,0,2,10,65,28,22,51,21,126
CHIPPENHAM FOREST,0,2,3,82,24,13,133,26,157
CHURCH HILL,0,1,8,71,44,46,143,51,229
CHURCH HILL NORTH,1,3,21,120,55,39,135,38,405
CITY CENTER,0,4,27,46,34,11,244,19,275
COFER,0,1,8,19,15,0,39,16,44
COLONIAL PLACE,0,0,0,6,10,0,36,12,47
COMMERCE ROAD INDUSTRIAL AREA,0,1,10,10,3,11,84,4,46
COTTRELL FARMS,0,2,1,9,5,2,21,2,37
COUNTRY CLUB OF VIRGINIA,0,0,0,0,1,0,7,0,1
CREIGHTON,2,6,8,123,31,38,63,16,276
CULLENWOOD,1,0,1,8,0,1,3,2,22
DAVEE GARDENS,1,0,0,17,6,7,15,4,50
DEERBOURNE,0,2,1,17,10,11,22,5,69
EASTVIEW,1,0,5,13,3,5,17,6,42
EDGEWOOD,0,1,0,9,9,5,27,12,42
ELKHARDT,0,1,2,49,14,2,61,32,90
FAIRFIELD,1,1,5,116,40,31,62,13,243
FAIRMOUNT,1,3,23,93,30,73,116,43,350
FAWNBROOK,0,0,0,7,2,0,6,7,18
FOREST HILL,0,1,1,7,6,1,79,13,49
FOREST HILL PARK,0,0,0,0,0,0,1,0,2
FOREST HILL TERRACE,0,2,8,11,6,3,95,10,67
FOREST VIEW,0,2,4,9,7,2,61,6,50
FULTON,1,6,17,128,35,44,162,56,351
GAMBLES HILL,0,0,0,1,1,4,7,0,18
GILPIN,5,10,30,201,42,152,130,30,566
GINTER PARK,2,9,26,111,71,79,239,79,343
GINTER PARK TERRACE,0,1,1,6,2,0,5,4,26
GRAVEL HILL,0,0,4,9,18,0,50,7,41
GREEN PARK,1,3,1,9,12,10,26,10,44
HICKORY HILL,1,4,11,17,26,3,32,15,78
HIGHLAND PARK SOUTHERN TIP,3,10,16,111,65,57,106,33,286
HIGHLAND TERRACE,1,2,9,35,15,9,28,12,100
HILLSIDE COURT,2,2,5,103,28,26,54,9,179
HIOAKS,0,6,2,25,10,5,48,33,147
HOLLYWOOD CEMETERY,0,0,0,1,0,0,5,2,6
HUGUENOT,0,0,0,5,3,2,34,3,41
