NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,4,0,5,6,1,19
BEAUFONT,1,2,3,26,11,1,14,5,66
BELLE AND MAYO ISLANDS,0,1,1,1,1,1,12,0,10
BELLEMEADE,3,7,11,139,46,58,91,28,410
BELLEVUE,0,0,0,7,33,3,26,6,60
BELMONT WOODS,0,1,2,5,2,0,7,1,35
BELT CENTER,0,1,13,32,15,25,108,12,246
BIOTECH AND MCV DISTRICT,0,0,1,12,0,13,20,5,104
BLACKWELL,1,1,15,118,38,93,82,17,309
BRAUERS,0,0,2,15,7,6,11,8,56
BRITISH CAMP FARMS,0,0,12,76,20,22,37,9,152
BROAD ROCK,2,1,11,75,18,37,61,21,195
BROAD ROCK INDUSTRIAL PARK,0,1,0,4,3,9,12,7,25
BROAD ROCK SPORTS COMPLEX,0,0,0,1,0,0,1,0,4
BROOKBURY,0,0,2,3,3,1,1,0,17
BROOKHAVEN FARMS,0,0,2,13,6,2,38,1,34
BROOKLAND PARK,0,5,11,62,33,54,58,29,186
BRYAN PARK,0,0,0,0,0,1,1,0,2
BYRD PARK,1,0,1,18,12,30,25,8,88
CAPITOL DISTRICT,0,0,0,13,8,2,41,4,88
CARILLON,0,1,0,4,2,4,6,4,26
CARVER,0,2,13,44,20,7,143,18,183
CARYTOWN,0,1,4,34,13,4,101,9,218
CEDARHURST,1,0,6,42,27,10,34,14,110
CENTRAL OFFICE,0,1,4,12,4,1,25,1,67
CHAMBERLAYNE INDUSTRIAL CENTER,1,1,7,32,28,15,46,16,114
CHERRY GARDENS,0,0,0,3,3,6,5,0,10
CHIMBORAZO,1,2,3,26,21,18,21,3,115
CHIPPENHAM FOREST,1,1,7,65,9,4,117,11,159
CHURCH HILL,1,1,10,49,53,37,87,18,229
CHURCH HILL NORTH,0,4,9,74,26,60,55,10,299
CITY CENTER,0,0,13,54,6,19,123,8,200
COFER,0,0,3,21,15,1,26,7,61
COLONIAL PLACE,0,0,0,3,12,0,31,8,39
COMMERCE ROAD INDUSTRIAL AREA,0,0,6,14,2,12,31,5,43
COTTRELL FARMS,0,1,3,18,6,4,16,5,39
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,1,0,0
CREIGHTON,3,3,9,101,18,66,33,10,325
CULLENWOOD,0,0,0,19,2,1,8,0,32
DAVEE GARDENS,0,0,0,16,4,1,7,5,29
DEERBOURNE,0,1,9,26,5,0,13,3,26
EASTVIEW,0,0,3,13,8,10,10,4,65
EDGEWOOD,0,0,3,20,5,7,16,9,55
ELKHARDT,0,0,2,53,15,11,35,11,134
FAIRFIELD,1,5,5,103,20,58,25,5,268
FAIRMOUNT,4,1,13,96,26,73,49,10,254
FAWNBROOK,0,0,0,9,2,0,5,2,39
FOREST HILL,0,0,1,4,20,0,32,2,37
FOREST HILL PARK,0,0,0,1,0,0,1,0,1
FOREST HILL TERRACE,0,0,4,8,13,6,22,4,58
FOREST VIEW,0,0,3,20,7,8,24,3,71
FULTON,3,6,13,154,41,69,76,21,421
GAMBLES HILL,0,0,1,1,0,1,12,2,11
GILPIN,6,12,37,250,45,169,74,29,566
GINTER PARK,1,1,24,112,56,56,125,40,346
GINTER PARK TERRACE,0,0,0,5,0,8,6,3,20
GRAVEL HILL,0,1,3,15,10,0,75,3,58
GREEN PARK,0,0,2,12,5,5,19,12,68
HICKORY HILL,1,2,1,29,18,21,27,10,74
HIGHLAND PARK SOUTHERN TIP,3,1,7,76,34,53,58,25,215
HIGHLAND TERRACE,0,1,6,47,9,27,29,17,82
HILLSIDE COURT,3,2,6,87,12,80,21,1,209
HIOAKS,0,1,8,44,16,5,64,14,124
HOLLYWOOD CEMETERY,0,0,0,2,0,1,3,0,12
HUGUENOT,0,3,1,4,5,2,19,0,46
JACKSON WARD,1,2,25,58,36,33,144,28,274
JAHNKE,0,3,20,53,32,6,85,57,172
JEFF DAVIS,5,7,39,186,67,181,156,42,621
JOHN MARSHALL,1,4,6,77,13,37,37,5,136
LABURNUM PARK,0,0,0,5,5,1,10,1,28
MAGNOLIA INDUSTRIAL CENTER,0,0,0,3,0,3,2,1,15
MALVERN GARDENS,0,2,0,6,5,0,25,0,34
MANCHESTER,1,3,10,22,19,5,47,8,93
MARY MUNFORD,0,0,0,3,3,0,9,1,25
MAURY,0,2,2,7,2,31,14,8,59
MAYMONT,0,0,2,16,6,4,28,3,65
MAYMONT PARK,0,0,0,2,0,1,8,0,2
MCGUIRE,0,3,2,45,19,18,31,11,133
MCGUIRE MANOR,1,1,7,35,10,37,18,7,108
MCGUIRE VETERANS HOSPITAL,0,0,1,16,2,0,6,2,38
MIDLOTHIAN,0,3,34,113,35,93,196,38,463
MONROE WARD,0,7,17,75,20,10,142,30,518
MONUMENT AVENUE PARK,0,0,3,4,6,0,24,4,42
MOSBY,3,2,8,146,30,61,44,7,359
MUSEUMS,0,0,8,13,5,6,34,4,65
NEWTOWNE WEST,0,1,8,22,3,25,34,2,67
NORTH HIGHLAND PARK,1,5,6,145,60,73,71,47,374
NORTHERN BARTON HEIGHTS,0,2,19,99,34,76,123,33,369
NORTHROP,0,4,11,73,21,20,46,23,171
OAK GROVE,1,6,23,79,40,77,88,22,234
OAKWOOD,1,0,4,14,4,21,11,3,66
OAKWOOD CEMETERY,0,0,0,1,0,1,0,0,5
OLD TOWN MANCHESTER,0,0,1,5,15,5,36,3,82
OREGON HILL,0,0,2,11,9,6,28,5,82
OXFORD,0,1,2,15,9,1,25,2,70
PARNELL INDUSTRIAL AREA,0,0,0,6,0,5,11,0,18
PETER PAUL,0,1,2,26,16,10,13,8,65
PINE CAMP,0,0,0,2,0,2,1,0,3
PINEY KNOLLS,0,3,23,77,32,26,38,22,215
POCOSHOCK,0,0,0,10,10,1,11,1,24
PROVIDENCE PARK,1,1,7,23,23,22,26,14,117
RANDOLPH,0,2,4,56,12,33,45,8,187
REEDY CREEK,0,0,3,26,22,15,26,10,82
ROSEDALE,0,0,0,8,3,2,16,4,35
SAUER'S GARDENS,0,2,0,20,12,6,27,5,125
SCOTT'S ADDITION,1,0,2,21,21,5,52,9,130
SHERWOOD PARK,0,0,1,5,7,2,26,8,30
SHOCKOE BOTTOM,0,3,14,88,16,23,144,32,435
SHOCKOE SLIP,0,0,3,26,8,9,48,9,117
SOUTH GARDEN,0,2,17,64,23,22,55,15,187
SOUTHAMPTON,0,0,0,0,3,0,5,0,16
SOUTHERN BARTON HEIGHTS,1,0,4,46,12,20,25,13,67
SOUTHWOOD,2,5,49,97,26,31,44,37,230
STADIUM,0,1,0,5,2,0,3,2,22
STONEWALL COURT,0,1,0,0,2,0,8,1,16
STONY POINT,0,0,0,6,1,0,38,1,23
STRATFORD HILLS,0,1,2,18,5,3,69,1,88
SWANSBORO,1,6,25,75,57,65,98,20,284
SWANSBORO WEST,1,5,12,101,29,42,43,18,236
SWANSON,0,3,10,15,8,14,74,4,93
THE DIAMOND,0,1,4,20,18,11,74,9,118
THE FAN,1,10,79,159,168,118,610,51,1068
THE MUSEUM DISTRICT,1,6,16,61,71,14,157,28,375
THREE CHOPT,0,1,1,11,13,1,45,1,85
UNION HILL,3,2,8,56,23,55,37,6,230
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,1
UPPER SHOCKOE VALLEY,0,0,2,11,2,10,31,9,680
VCU,0,1,9,26,9,7,54,11,202
VIRGINIA UNION,0,3,12,52,18,30,56,20,189
WALMSLEY,0,3,21,43,11,8,23,10,157
WARWICK,0,1,4,21,10,2,17,2,55
WASHINGTON PARK,0,3,6,24,7,11,10,6,92
WESTHAMPTON,0,1,5,4,14,3,12,2,39
WESTLAKE HILLS,0,0,0,11,2,0,5,2,51
WESTOVER,0,1,11,57,31,10,63,34,168
WESTOVER HILLS,0,1,1,7,11,5,6,1,24
WESTOVER HILLS WEST,0,0,0,1,1,0,11,0,11
WHITCOMB,2,8,22,148,27,96,45,12,431
WILLOW LAWN,0,0,0,2,0,1,23,2,17
WILLOW OAKS,0,0,0,1,1,0,13,0,11
WILTON,0,0,0,0,3,0,16,0,6
WINDSOR,0,2,4,24,13,8,17,6,61
WINDSOR FARMS,0,0,0,3,3,0,11,0,13
WOODHAVEN,0,1,4,27,9,15,20,1,118
WOODLAND HEIGHTS,3,2,8,19,44,11,97,19,135
WOODVILLE,2,0,2,27,9,23,11,4,70
WORTHINGTON,0,0,2,16,4,5,14,2,49
