NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,4,0,11,4,0,22
BEAUFONT,0,0,4,18,18,5,12,2,60
BELLE AND MAYO ISLANDS,0,0,1,2,0,4,21,1,28
BELLEMEADE,2,6,9,133,37,52,60,18,443
BELLEVUE,0,1,4,3,7,3,20,8,54
BELMONT WOODS,0,0,0,8,4,1,6,1,21
BELT CENTER,0,0,10,45,9,16,83,14,243
BIOTECH AND MCV DISTRICT,0,0,1,11,1,21,25,4,145
BLACKWELL,1,0,14,63,25,95,79,24,405
BRAUERS,0,1,4,20,3,11,8,6,77
BRITISH CAMP FARMS,0,2,8,54,14,18,36,5,154
BROAD ROCK,2,5,8,80,39,47,51,16,270
BROAD ROCK INDUSTRIAL PARK,0,0,1,4,3,9,7,3,30
BROAD ROCK SPORTS COMPLEX,0,0,1,0,1,2,0,0,7
BROOKBURY,0,0,0,5,2,3,2,0,25
BROOKHAVEN FARMS,0,0,6,24,18,3,18,2,58
BROOKLAND PARK,3,2,4,50,18,43,48,15,213
BRYAN PARK,0,0,1,1,0,1,1,0,10
BYRD PARK,1,0,7,23,7,28,17,1,112
CAPITOL DISTRICT,0,1,1,14,0,7,31,4,131
CARILLON,0,0,0,7,4,2,6,0,36
CARVER,0,3,14,47,21,22,200,32,299
CARYTOWN,0,0,10,25,26,6,96,6,184
CEDARHURST,0,0,7,41,24,2,24,28,135
CENTRAL OFFICE,0,0,5,12,3,2,38,1,83
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,10,26,29,15,33,11,137
CHERRY GARDENS,0,0,1,4,0,1,3,2,13
CHIMBORAZO,0,1,2,26,11,7,34,7,93
CHIPPENHAM FOREST,0,1,4,47,24,11,120,8,182
CHURCH HILL,0,4,10,36,37,20,90,19,179
CHURCH HILL NORTH,0,3,13,76,37,40,60,15,270
CITY CENTER,0,3,7,48,25,28,104,11,243
COFER,0,0,3,13,6,3,11,6,99
COLONIAL PLACE,0,0,0,3,3,2,26,1,38
COMMERCE ROAD INDUSTRIAL AREA,0,0,3,5,1,12,15,7,80
COTTRELL FARMS,0,0,4,17,2,4,12,2,50
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,4,0,3
