NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,4,0,3,4,2,10
BEAUFONT,1,0,1,18,13,6,20,5,43
BELLE AND MAYO ISLANDS,0,0,3,3,0,4,18,0,64
BELLEMEADE,0,4,10,132,32,62,83,27,308
BELLEVUE,0,1,1,6,33,6,60,8,71
BELMONT WOODS,0,0,0,3,1,0,4,0,9
BELT CENTER,0,0,8,35,7,18,117,12,229
BIOTECH AND MCV DISTRICT,0,0,1,8,0,12,8,3,132
BLACKWELL,0,3,11,102,24,38,68,17,239
BRAUERS,0,0,3,26,3,21,18,5,51
BRITISH CAMP FARMS,0,1,6,27,16,14,42,5,106
BROAD ROCK,0,3,8,45,18,28,52,9,188
BROAD ROCK INDUSTRIAL PARK,0,0,0,7,4,8,13,1,21
BROAD ROCK SPORTS COMPLEX,0,0,1,2,0,0,1,1,15
BROOKBURY,0,0,0,0,1,2,3,0,15
BROOKHAVEN FARMS,0,2,3,8,5,0,14,1,41
BROOKLAND PARK,0,0,6,48,32,74,46,14,189
BRYAN PARK,0,0,0,0,0,0,2,0,7
BYRD PARK,0,1,2,13,19,8,50,3,66
CAPITOL DISTRICT,0,0,2,18,2,6,31,3,98
CARILLON,0,0,0,8,7,1,29,1,36
CARVER,0,0,10,38,23,36,205,20,313
CARYTOWN,0,0,2,30,11,8,103,8,234
CEDARHURST,0,1,1,45,11,3,22,5,114
CENTRAL OFFICE,0,0,0,9,0,1,24,2,74
CHAMBERLAYNE INDUSTRIAL CENTER,1,1,1,40,17,29,63,11,161
CHERRY GARDENS,0,0,0,2,0,1,2,0,8
CHIMBORAZO,0,1,2,26,13,2,33,6,68
CHIPPENHAM FOREST,0,0,2,32,6,8,133,6,125
CHURCH HILL,0,0,3,23,20,5,47,5,145
CHURCH HILL NORTH,1,0,9,54,15,18,69,13,201
CITY CENTER,1,3,6,60,6,35,125,3,294
COFER,0,0,3,17,10,5,12,5,46
COLONIAL PLACE,0,0,0,3,15,0,12,1,18
COMMERCE ROAD INDUSTRIAL AREA,0,0,1,5,1,7,26,6,47
COTTRELL FARMS,0,0,1,7,1,0,17,4,42
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,4,0,5
CREIGHTON,1,2,2,63,11,62,23,4,185
CULLENWOOD,0,0,0,7,3,0,5,0,14
DAVEE GARDENS,0,0,1,8,11,0,16,1,34
DEERBOURNE,0,0,0,15,10,5,8,2,38
EASTVIEW,0,0,6,8,3,11,13,5,48
EDGEWOOD,0,0,2,8,12,16,16,1,59
ELKHARDT,0,2,12,35,7,11,32,6,120
FAIRFIELD,0,0,3,69,9,60,27,13,188
FAIRMOUNT,1,2,6,48,6,53,66,11,161
FAWNBROOK,0,0,2,5,6,0,6,0,26
FOREST HILL,0,0,0,1,7,2,18,1,30
FOREST HILL PARK,0,2,0,1,0,0,1,0,0
FOREST HILL TERRACE,0,0,4,9,8,5,23,3,45
FOREST VIEW,0,1,1,10,1,2,25,3,46
FULTON,1,2,15,104,39,17,140,15,302
GAMBLES HILL,0,0,0,1,0,0,19,2,19
