NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
GILPIN,1,8,14,221,45,145,87,22,625
GINTER PARK,0,0,28,153,56,136,141,20,538
GINTER PARK TERRACE,0,0,2,9,4,6,5,1,32
GRAVEL HILL,0,0,3,12,1,2,74,4,68
GREEN PARK,0,0,1,13,17,1,9,3,51
HICKORY HILL,0,0,1,34,13,4,15,6,63
HIGHLAND PARK SOUTHERN TIP,2,2,8,62,34,39,44,10,178
HIGHLAND TERRACE,0,0,6,34,12,41,21,5,152
HILLSIDE COURT,1,1,9,75,28,38,25,12,162
HIOAKS,0,1,4,35,14,2,39,8,114
HOLLYWOOD CEMETERY,0,0,0,1,1,0,3,0,17
HUGUENOT,0,1,2,6,2,1,23,0,51
JACKSON WARD,2,3,17,57,46,38,161,13,348
JAHNKE,1,1,10,62,21,9,102,17,165
JEFF DAVIS,1,2,14,118,67,49,139,40,406
JOHN MARSHALL,1,2,8,66,13,51,34,10,136
LABURNUM PARK,0,0,0,3,11,2,11,4,11
MAGNOLIA INDUSTRIAL CENTER,0,0,0,3,1,2,1,0,14
MALVERN GARDENS,0,0,0,1,5,0,23,3,27
MANCHESTER,1,1,5,21,9,7,41,8,62
MARY MUNFORD,0,0,0,2,4,1,19,1,22
MAURY,0,0,0,4,3,12,8,1,48
MAYMONT,0,0,0,16,4,2,22,3,34
MAYMONT PARK,0,0,0,0,0,0,14,0,11
MCGUIRE,0,0,8,30,14,17,26,7,124
MCGUIRE MANOR,0,0,4,43,8,12,20,5,125
MCGUIRE VETERANS HOSPITAL,0,0,1,12,3,4,8,0,23
MIDLOTHIAN,2,4,18,106,21,72,111,27,380
MONROE WARD,0,2,11,69,10,28,126,14,362
MONUMENT AVENUE PARK,0,0,1,6,1,0,21,3,56
MOSBY,1,2,5,111,9,78,50,11,282
MUSEUMS,0,0,2,17,1,9,34,3,116
NEWTOWNE WEST,0,1,0,9,2,3,13,4,91
NORTH HIGHLAND PARK,1,4,8,123,44,42,57,18,231
NORTHERN BARTON HEIGHTS,1,1,22,83,51,40,123,18,325
NORTHROP,0,1,3,63,14,7,45,12,131
OAK GROVE,2,2,12,57,39,38,58,18,183
OAKWOOD,0,0,6,28,3,2,24,5,64
OAKWOOD CEMETERY,0,0,1,2,1,1,3,0,10
OLD TOWN MANCHESTER,0,1,2,20,6,6,43,7,121
OREGON HILL,0,0,0,14,2,11,29,4,89
OXFORD,0,1,0,26,6,2,26,1,49
PARNELL INDUSTRIAL AREA,0,0,0,3,2,1,6,0,12
PETER PAUL,1,1,2,14,7,5,14,4,75
PINE CAMP,0,0,0,2,1,5,1,0,13
PINEY KNOLLS,0,0,6,65,20,13,39,14,194
POCOSHOCK,0,1,0,6,2,0,4,0,27
POWHITE PARK,0,0,0,0,2,1,0,0,4
PROVIDENCE PARK,0,2,2,47,37,17,20,6,108
RANDOLPH,0,2,14,40,53,13,62,10,168
REEDY CREEK,1,1,4,21,4,3,31,9,94
ROSEDALE,0,0,0,3,8,0,12,5,37
SAUER'S GARDENS,0,1,2,13,10,17,37,3,95
SCOTT'S ADDITION,0,2,4,25,15,14,59,9,154
SHERWOOD PARK,0,0,4,4,9,6,9,3,29
SHOCKOE BOTTOM,0,1,15,58,6,24,144,24,390
SHOCKOE SLIP,0,1,5,37,3,6,44,6,200
SOUTH GARDEN,1,2,7,37,16,21,56,14,148
SOUTHAMPTON,0,0,0,1,2,1,13,0,18
SOUTHERN BARTON HEIGHTS,0,0,3,26,13,9,11,3,75
SOUTHWOOD,1,6,22,60,8,15,57,6,174
STADIUM,0,0,0,3,2,2,2,1,19
STONEWALL COURT,0,1,0,1,6,0,5,0,8
STONY POINT,0,0,2,3,0,0,36,3,28
STRATFORD HILLS,0,0,3,12,12,1,33,4,73
SWANSBORO,1,2,13,71,31,37,111,12,244
SWANSBORO WEST,1,2,11,83,19,26,57,21,272
SWANSON,0,2,5,47,12,5,42,7,114
THE DIAMOND,0,1,1,21,11,9,45,3,126
THE FAN,2,8,30,115,82,54,474,24,840
THE MUSEUM DISTRICT,0,4,8,50,47,14,75,20,319
THREE CHOPT,0,2,1,4,15,3,17,1,64
UNION HILL,0,1,4,37,18,14,46,11,151
UNIVERSITY OF RICHMOND,0,0,0,0,1,0,1,0,0
UPPER SHOCKOE VALLEY,0,0,4,20,0,21,34,1,166
VCU,0,0,8,24,6,17,58,4,144
VIRGINIA UNION,0,1,7,38,25,35,62,9,176
WALMSLEY,1,1,3,28,11,8,26,5,72
WARWICK,0,1,0,15,8,4,11,1,25
WASHINGTON PARK,0,0,4,37,19,16,10,8,90
WESTHAMPTON,0,0,2,3,8,1,15,0,26
WESTLAKE HILLS,0,0,0,7,0,2,7,1,18
WESTOVER,1,1,5,44,28,7,44,13,108
WESTOVER HILLS,0,0,2,5,4,0,20,1,35
WESTOVER HILLS WEST,0,0,0,0,0,0,4,0,8
WHITCOMB,3,3,11,130,21,81,61,11,323
WILLOW LAWN,0,1,0,0,5,0,7,2,16
WILLOW OAKS,0,0,0,1,0,2,2,0,13
WILTON,0,0,0,1,1,0,0,0,14
WINDSOR,0,1,2,15,2,0,8,2,23
WINDSOR FARMS,0,0,0,0,17,1,37,0,18
WOODHAVEN,0,0,4,17,17,2,40,4,74
WOODLAND HEIGHTS,0,0,4,30,18,3,59,9,108
WOODVILLE,1,0,2,19,0,20,21,1,44
WORTHINGTON,0,1,0,16,4,2,8,5,39
