NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
SHOCKOE BOTTOM,2,3,17,77,7,46,105,15,471
SHOCKOE SLIP,0,1,4,55,1,16,54,5,249
SOUTH GARDEN,1,0,10,28,25,16,46,6,149
SOUTHAMPTON,0,0,0,3,2,0,3,2,15
SOUTHERN BARTON HEIGHTS,0,1,6,25,24,15,28,9,104
SOUTHWOOD,0,3,16,77,9,13,41,18,198
STADIUM,0,0,0,4,4,0,5,1,8
STONEWALL COURT,0,0,0,0,0,0,6,0,4
STONY POINT,0,0,0,1,1,2,46,1,31
STRATFORD HILLS,1,0,1,8,17,1,76,2,77
SWANSBORO,0,2,13,72,29,47,99,20,296
SWANSBORO WEST,1,1,15,115,29,36,70,25,304
SWANSON,0,0,9,19,13,16,26,7,103
THE DIAMOND,0,1,0,16,10,15,39,7,119
THE FAN,0,10,28,158,96,64,381,42,1007
THE MUSEUM DISTRICT,0,0,3,32,38,16,110,28,331
THREE CHOPT,0,0,1,13,11,2,26,2,77
UNION HILL,2,2,7,55,11,44,51,7,212
UNIVERSITY OF RICHMOND,0,0,0,1,0,0,0,0,1
UPPER SHOCKOE VALLEY,1,0,2,26,1,23,32,0,220
VCU,0,0,1,20,10,21,57,6,223
VIRGINIA UNION,0,0,6,22,21,19,60,7,136
WALMSLEY,0,1,1,27,15,12,35,7,104
WARWICK,0,0,1,8,7,0,13,2,36
WASHINGTON PARK,0,0,1,30,15,1,24,4,77
WESTHAMPTON,0,0,1,5,4,1,18,0,40
WESTLAKE HILLS,0,0,0,5,1,0,6,1,25
WESTOVER,1,0,9,49,30,7,27,10,104
WESTOVER HILLS,0,0,0,3,5,1,9,0,25
WESTOVER HILLS WEST,0,0,0,1,4,0,8,0,9
WHITCOMB,1,2,11,126,30,57,46,7,364
WILLOW LAWN,0,1,0,0,5,0,9,0,13
WILLOW OAKS,0,0,0,0,2,0,10,2,5
WILTON,0,0,0,0,1,0,3,0,13
WINDSOR,0,2,4,22,3,10,13,3,48
WINDSOR FARMS,0,0,0,1,2,0,9,1,13
WOODHAVEN,1,0,1,30,17,11,22,7,90
WOODLAND HEIGHTS,0,0,6,18,13,6,54,21,168
WOODVILLE,0,0,2,25,6,23,15,1,66
WORTHINGTON,0,0,1,12,6,2,14,3,51
