NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
HIOAKS,1,2,2,33,10,15,54,9,145
HOLLYWOOD CEMETERY,0,0,0,4,0,2,2,0,14
HUGUENOT,0,0,1,5,3,2,18,2,47
JACKSON WARD,1,6,16,52,26,63,184,17,342
JAHNKE,0,1,5,61,47,7,79,21,245
JEFF DAVIS,5,3,34,162,37,133,128,34,575
JOHN MARSHALL,0,2,8,76,11,32,21,8,184
LABURNUM PARK,0,0,0,4,3,0,10,1,19
MAGNOLIA INDUSTRIAL CENTER,0,0,0,0,1,2,11,0,13
MALVERN GARDENS,0,0,1,2,4,0,28,3,18
MANCHESTER,0,1,2,20,9,4,30,4,96
MARY MUNFORD,0,0,0,2,2,2,24,3,30
MAURY,0,0,1,3,2,35,16,1,97
MAYMONT,0,1,0,9,2,3,16,1,37
MAYMONT PARK,0,0,0,1,0,0,11,0,3
MCGUIRE,1,5,9,42,18,29,22,9,130
MCGUIRE MANOR,0,1,7,36,3,12,24,8,101
MCGUIRE VETERANS HOSPITAL,0,0,2,11,7,1,17,4,32
MIDLOTHIAN,2,5,24,102,23,75,143,19,433
MONROE WARD,0,1,16,82,19,32,184,12,459
MONUMENT AVENUE PARK,0,0,4,6,2,1,11,1,52
MOSBY,0,7,15,133,29,62,40,5,353
MUSEUMS,0,0,3,8,2,4,34,2,101
NEWTOWNE WEST,1,0,3,22,2,8,26,5,75
NORTH HIGHLAND PARK,2,5,12,110,29,79,51,13,308
NORTHERN BARTON HEIGHTS,1,2,20,133,26,70,109,33,373
NORTHROP,0,2,12,81,22,18,58,12,214
OAK GROVE,2,1,13,61,18,61,60,11,258
OAKWOOD,1,1,1,21,4,7,20,6,68
OAKWOOD CEMETERY,0,0,0,0,1,1,2,2,14
OLD TOWN MANCHESTER,0,0,3,16,4,15,32,6,98
OREGON HILL,0,0,3,20,2,8,36,5,139
OXFORD,0,0,1,12,2,0,16,1,43
PARNELL INDUSTRIAL AREA,0,0,0,0,0,0,5,1,15
PETER PAUL,0,0,1,21,11,12,14,9,78
PINE CAMP,0,0,0,0,0,2,3,0,6
PINEY KNOLLS,0,4,12,83,25,22,72,7,215
POCOSHOCK,0,1,2,12,6,1,6,0,13
POWHITE PARK,0,0,0,0,0,0,0,0,4
PROVIDENCE PARK,0,1,4,42,13,17,30,8,139
RANDOLPH,1,1,6,45,21,49,30,8,201
REEDY CREEK,0,5,4,35,7,7,31,3,100
ROSEDALE,0,0,0,4,1,0,10,3,30
SAUER'S GARDENS,0,0,2,22,6,7,23,6,83
SCOTT'S ADDITION,0,0,7,16,9,5,63,3,154
SHERWOOD PARK,0,0,0,3,3,1,12,4,34
SHOCKOE BOTTOM,0,0,12,72,17,14,107,16,414
SHOCKOE SLIP,0,2,3,52,3,7,43,3,130
SOUTH GARDEN,0,1,12,50,30,15,74,18,160
SOUTHAMPTON,0,0,0,0,1,0,3,0,10
SOUTHERN BARTON HEIGHTS,2,0,4,46,9,28,25,5,139
SOUTHWOOD,1,2,39,113,18,22,63,16,349
STADIUM,0,0,0,4,0,0,2,0,17
STONEWALL COURT,0,0,0,1,2,1,11,1,19
STONY POINT,0,1,0,3,0,0,40,1,33
STRATFORD HILLS,0,0,1,7,6,11,46,2,90
SWANSBORO,0,1,11,102,32,58,85,25,387
SWANSBORO WEST,0,3,9,115,13,53,48,15,256
SWANSON,0,0,3,17,3,7,47,5,120
THE DIAMOND,0,0,2,21,6,16,47,1,118
THE FAN,0,8,53,174,89,71,439,47,1077
THE MUSEUM DISTRICT,0,0,13,53,26,19,110,24,352
THREE CHOPT,0,1,1,5,16,6,59,1,77
UNION HILL,1,2,8,55,21,46,62,11,256
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,1,0,0
UPPER SHOCKOE VALLEY,0,1,3,12,1,18,29,2,121
VCU,0,3,11,27,8,20,46,9,195
VIRGINIA UNION,0,0,7,34,15,15,55,5,126
WALMSLEY,0,2,0,47,13,9,15,7,151
WARWICK,0,0,1,15,6,1,9,1,43
WASHINGTON PARK,0,0,5,11,13,5,15,5,46
WESTHAMPTON,0,1,1,8,8,2,24,1,46
WESTLAKE HILLS,0,1,0,4,6,1,7,2,20
WESTOVER,0,1,3,57,22,12,40,16,140
WESTOVER HILLS,1,0,0,5,5,1,13,0,29
WESTOVER HILLS WEST,0,0,0,3,1,0,1,0,12
WHITCOMB,2,2,41,130,28,80,49,25,501
WILLOW LAWN,0,0,0,1,6,1,13,0,14
WILLOW OAKS,0,0,0,2,1,2,3,0,14
WILTON,0,0,0,0,1,0,2,0,5
WINDSOR,0,2,6,23,5,7,15,4,49
WINDSOR FARMS,0,0,0,0,0,1,8,1,12
WOODHAVEN,1,1,2,27,14,9,18,6,122
WOODLAND HEIGHTS,0,0,9,17,14,5,58,10,120
WOODVILLE,0,2,4,16,6,33,18,4,92
WORTHINGTON,0,1,1,16,12,2,13,8,50
