NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,1,0,12,1,0,38
BEAUFONT,0,1,3,14,5,2,3,0,45
BELLE AND MAYO ISLANDS,0,1,0,9,0,5,11,0,97
BELLEMEADE,0,4,12,128,33,35,80,9,370
BELLEVUE,0,0,0,11,7,6,30,6,53
BELMONT WOODS,0,0,0,4,6,1,11,1,9
BELT CENTER,1,0,13,46,8,29,93,10,255
BIOTECH AND MCV DISTRICT,0,0,0,11,0,20,18,2,124
BLACKWELL,2,3,17,100,17,44,75,15,332
BRAUERS,0,1,7,22,7,20,17,4,57
BRITISH CAMP FARMS,0,1,6,37,15,11,40,9,159
BROAD ROCK,1,2,15,73,17,54,44,9,229
BROAD ROCK INDUSTRIAL PARK,0,2,1,0,0,22,4,1,26
BROAD ROCK SPORTS COMPLEX,0,0,0,3,1,0,4,1,10
BROOKBURY,0,0,0,6,2,3,7,1,19
BROOKHAVEN FARMS,0,0,2,17,9,2,23,0,53
BROOKLAND PARK,2,4,12,67,10,44,45,13,209
BRYAN PARK,0,0,0,2,1,0,1,0,12
BYRD PARK,0,0,3,12,4,12,39,5,74
CAPITOL DISTRICT,0,0,2,20,0,6,30,4,130
CARILLON,0,0,1,3,2,1,32,1,40
CARVER,0,0,15,46,10,17,226,12,269
CARYTOWN,0,0,11,21,10,15,108,11,241
CEDARHURST,0,2,2,37,21,6,30,11,111
CENTRAL OFFICE,0,0,4,19,1,3,23,2,98
CHAMBERLAYNE INDUSTRIAL CENTER,0,2,3,30,13,25,31,10,147
CHERRY GARDENS,0,0,0,0,2,1,1,0,12
CHIMBORAZO,0,1,4,21,14,10,27,9,77
CHIPPENHAM FOREST,0,0,0,51,15,9,146,5,176
CHURCH HILL,1,3,3,30,26,11,78,13,173
CHURCH HILL NORTH,0,2,12,61,29,37,51,5,268
CITY CENTER,1,1,11,70,14,105,149,7,336
COFER,0,0,2,11,9,7,18,12,52
COLONIAL PLACE,0,0,0,5,6,0,30,2,37
COMMERCE ROAD INDUSTRIAL AREA,0,1,3,2,0,5,24,6,21
COTTRELL FARMS,0,0,0,12,4,1,19,5,51
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,0,2
CREIGHTON,0,2,9,89,26,64,41,5,325
CULLENWOOD,0,1,0,10,9,0,3,1,19
DAVEE GARDENS,0,0,0,17,7,12,6,3,53
DEERBOURNE,0,1,2,8,2,0,8,2,34
EASTVIEW,0,0,7,18,3,12,20,4,74
EDGEWOOD,0,0,4,16,10,2,10,10,53
ELKHARDT,0,2,0,50,13,15,41,6,195
FAIRFIELD,2,1,7,74,21,50,19,9,283
FAIRMOUNT,1,1,6,70,19,84,51,16,235
FAWNBROOK,0,0,0,3,12,0,6,1,25
FOREST HILL,0,0,0,5,5,1,30,1,36
FOREST HILL PARK,0,0,0,0,0,0,3,0,4
FOREST HILL TERRACE,0,1,4,8,11,4,20,0,65
FOREST VIEW,0,0,2,14,5,7,18,6,65
FULTON,1,2,21,132,38,27,91,30,395
GAMBLES HILL,0,0,0,2,0,0,13,0,13
GILPIN,2,5,33,237,42,176,60,19,916
GINTER PARK,1,3,28,124,35,41,95,26,394
GINTER PARK TERRACE,0,0,0,3,3,2,6,2,34
GRAVEL HILL,0,0,4,6,5,2,57,0,75
GREEN PARK,0,0,2,22,3,3,11,4,53
HICKORY HILL,0,2,4,31,13,4,40,9,93
HIGHLAND PARK SOUTHERN TIP,1,2,16,63,18,66,38,9,226
HIGHLAND TERRACE,0,0,4,44,9,37,13,5,107
HILLSIDE COURT,1,2,11,76,8,40,23,2,313
