NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,2,2,5,10,0,14
BEAUFONT,0,0,2,23,20,1,15,9,44
BELLE AND MAYO ISLANDS,0,0,0,1,4,0,5,0,6
BELLEMEADE,2,3,21,115,61,58,81,46,272
BELLEVUE,0,1,5,12,15,2,21,7,61
BELMONT WOODS,0,0,1,4,3,1,4,2,16
BELT CENTER,0,1,23,54,24,7,146,18,173
BIOTECH AND MCV DISTRICT,0,1,4,12,0,11,32,16,68
BLACKWELL,0,1,13,80,79,30,117,35,166
BRAUERS,2,0,3,21,11,6,28,14,37
BRITISH CAMP FARMS,0,2,13,55,33,1,65,10,91
BROAD ROCK,3,4,8,72,38,31,68,32,158
BROAD ROCK INDUSTRIAL PARK,0,1,1,4,4,7,4,5,15
BROAD ROCK SPORTS COMPLEX,0,0,0,0,1,0,3,1,1
BROOKBURY,0,0,1,3,2,0,9,0,13
BROOKHAVEN FARMS,0,0,4,14,11,2,33,7,29
BROOKLAND PARK,2,1,14,64,32,26,47,22,142
BRYAN PARK,0,0,0,0,0,2,2,1,16
BYRD PARK,1,3,9,20,10,12,31,6,74
CAPITOL DISTRICT,0,2,3,9,2,4,37,8,84
CARILLON,0,2,2,6,2,1,10,4,17
CARVER,2,3,10,47,19,11,128,27,164
CARYTOWN,0,2,21,25,33,5,135,11,179
CEDARHURST,0,2,2,36,29,1,34,21,76
CENTRAL OFFICE,0,0,1,4,2,3,31,3,51
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,12,30,32,16,71,18,114
CHERRY GARDENS,0,0,0,2,5,1,2,2,7
CHIMBORAZO,1,1,4,58,16,13,31,28,94
CHIPPENHAM FOREST,0,6,9,68,12,9,185,9,128
CHURCH HILL,0,6,16,52,41,31,122,55,163
CHURCH HILL NORTH,1,5,15,110,42,34,117,50,198
CITY CENTER,0,2,12,42,13,17,113,17,150
COFER,0,0,1,20,24,0,18,12,43
COLONIAL PLACE,0,1,0,4,17,0,23,2,34
COMMERCE ROAD INDUSTRIAL AREA,0,1,8,6,1,13,31,5,30
COTTRELL FARMS,0,0,3,11,5,3,18,2,29
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,2,0,3
CREIGHTON,3,4,13,119,23,35,60,23,194
CULLENWOOD,0,0,1,10,6,1,6,5,21
DAVEE GARDENS,1,1,3,22,4,15,11,10,47
DEERBOURNE,0,0,6,16,6,2,11,5,31
EASTVIEW,3,1,10,15,6,11,20,11,48
EDGEWOOD,0,1,2,11,3,3,21,16,33
ELKHARDT,0,1,5,27,13,1,32,25,68
FAIRFIELD,1,0,9,119,24,39,40,17,161
FAIRMOUNT,3,0,19,82,28,71,54,21,140
FAWNBROOK,0,0,0,4,0,0,2,1,11
FOREST HILL,0,0,2,6,17,1,70,12,40
FOREST HILL PARK,0,0,0,0,0,1,2,0,7
FOREST HILL TERRACE,0,0,11,14,8,2,78,10,42
FOREST VIEW,0,1,4,13,12,6,26,17,46
FULTON,1,8,33,138,50,30,141,47,325
GAMBLES HILL,0,0,1,0,0,2,3,0,2
GILPIN,7,9,37,258,38,127,93,40,354
GINTER PARK,3,2,25,81,71,41,182,48,271
GINTER PARK TERRACE,0,1,0,3,4,0,14,8,15
GRAVEL HILL,0,1,7,7,2,2,27,2,21
GREEN PARK,1,1,3,14,14,3,18,7,35
HICKORY HILL,0,1,4,19,13,1,26,9,59
HIGHLAND PARK SOUTHERN TIP,4,4,25,117,56,37,77,31,202
