NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
HIGHLAND TERRACE,0,0,10,38,10,20,27,13,69
HILLSIDE COURT,0,7,12,87,22,44,21,17,144
HIOAKS,1,3,9,43,12,4,57,15,125
HOLLYWOOD CEMETERY,0,0,0,1,1,0,6,0,9
HUGUENOT,0,0,4,7,10,0,18,2,49
JACKSON WARD,0,0,32,57,36,38,115,38,201
JAHNKE,0,1,15,51,23,5,123,52,134
JEFF DAVIS,3,8,61,166,69,188,209,76,405
JOHN MARSHALL,0,4,6,78,25,10,33,18,118
LABURNUM PARK,0,2,0,1,9,0,13,4,8
MAGNOLIA INDUSTRIAL CENTER,0,0,0,2,2,4,11,0,13
MALVERN GARDENS,0,0,1,2,7,1,23,4,35
MANCHESTER,0,2,4,41,16,9,62,10,69
MARY MUNFORD,0,0,0,2,2,0,11,0,24
MAURY,0,0,1,11,14,10,29,6,25
MAYMONT,0,0,1,17,6,1,17,9,43
MAYMONT PARK,0,0,0,2,1,0,18,2,6
MCGUIRE,1,1,7,37,22,9,46,18,88
MCGUIRE MANOR,1,0,11,20,16,5,29,17,63
MCGUIRE VETERANS HOSPITAL,0,1,2,7,1,3,11,10,18
MIDLOTHIAN,2,7,49,78,53,29,391,107,253
MONROE WARD,0,2,32,74,19,19,214,23,614
MONUMENT AVENUE PARK,1,0,3,5,3,0,34,4,41
MOSBY,3,9,18,202,52,33,80,29,252
MUSEUMS,0,0,4,23,8,5,49,2,51
NEWTOWNE WEST,0,1,5,18,2,19,72,13,51
NORTH HIGHLAND PARK,5,6,10,110,72,53,85,38,260
NORTHERN BARTON HEIGHTS,2,4,24,104,71,59,110,44,255
NORTHROP,0,8,20,82,25,17,70,45,160
OAK GROVE,1,5,13,62,68,22,89,29,164
OAKWOOD,0,0,7,48,18,5,22,16,67
OAKWOOD CEMETERY,0,0,0,6,0,1,4,3,17
OLD TOWN MANCHESTER,0,0,3,10,14,7,69,5,48
OREGON HILL,0,1,4,17,3,9,35,7,63
OXFORD,0,0,4,12,11,3,51,3,44
PARNELL INDUSTRIAL AREA,0,0,1,4,2,3,12,1,14
PETER PAUL,0,0,4,10,7,3,24,27,50
PINE CAMP,0,0,0,0,0,2,0,0,2
PINEY KNOLLS,2,5,28,85,31,9,79,37,130
POCOSHOCK,0,0,0,8,2,1,2,2,25
PROVIDENCE PARK,2,1,4,28,23,19,40,25,104
RANDOLPH,2,5,8,47,22,11,56,22,130
REEDY CREEK,0,1,5,23,20,5,40,15,60
ROSEDALE,0,0,0,6,6,1,27,4,30
SAUER'S GARDENS,0,2,4,26,13,1,100,18,81
SCOTT'S ADDITION,0,2,11,26,17,6,90,20,129
SHERWOOD PARK,0,0,1,8,3,1,10,2,28
SHOCKOE BOTTOM,2,5,14,71,20,10,204,48,263
SHOCKOE SLIP,0,1,9,23,7,5,51,15,68
SOUTH GARDEN,0,1,9,42,24,5,76,27,113
SOUTHAMPTON,0,0,0,2,3,0,7,3,6
SOUTHERN BARTON HEIGHTS,3,4,7,39,27,24,26,10,62
SOUTHWOOD,0,4,33,64,37,9,77,30,125
STADIUM,0,0,1,3,1,0,6,1,8
STONEWALL COURT,0,0,2,2,1,0,7,0,10
STONY POINT,0,0,0,3,1,2,35,1,27
STRATFORD HILLS,0,0,4,2,8,0,63,5,59
SWANSBORO,1,2,33,94,59,71,144,37,198
SWANSBORO WEST,2,0,22,90,32,18,77,25,213
SWANSON,3,2,8,30,8,6,138,18,63
THE DIAMOND,0,1,11,29,16,2,70,17,91
THE FAN,0,14,106,194,190,79,527,103,1021
THE MUSEUM DISTRICT,0,5,23,86,66,5,180,30,318
THREE CHOPT,0,0,2,9,11,0,38,4,48
UNION HILL,2,1,18,75,17,49,71,24,83
UPPER SHOCKOE VALLEY,1,0,0,9,3,14,37,10,63
VCU,1,2,16,27,7,8,67,14,137
VIRGINIA UNION,1,3,16,38,37,60,79,9,127
WALMSLEY,1,4,5,68,14,8,27,16,98
WARWICK,0,1,0,16,5,1,10,6,39
WASHINGTON PARK,0,0,1,43,15,5,23,17,50
WEST OF THE BOULEVARD,0,0,2,1,3,0,7,5,12
WESTHAMPTON,0,0,3,6,2,0,31,2,46
WESTLAKE HILLS,0,1,0,4,5,0,6,3,25
WESTOVER,1,3,5,45,38,7,55,48,125
WESTOVER HILLS,0,0,5,4,19,1,29,4,42
WESTOVER HILLS WEST,0,0,0,1,0,0,5,0,6
WHITCOMB,3,8,23,150,40,50,75,31,246
WILLOW LAWN,0,0,1,0,2,0,12,5,13
WILLOW OAKS,0,0,0,2,1,0,13,2,9
WILTON,0,0,0,1,1,0,9,0,7
WINDSOR,1,0,1,26,11,2,16,9,34
WINDSOR FARMS,0,0,0,0,2,0,17,1,15
WOODHAVEN,0,1,4,19,12,4,30,16,75
WOODLAND HEIGHTS,0,2,13,18,42,4,135,29,99
WOODVILLE,1,2,7,30,8,14,15,15,52
WORTHINGTON,0,2,1,11,9,1,18,7,39
,0,0,0,1,0,0,1,0,1
