NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,1,0,3,0,5,0,11
BEAUFONT,0,0,1,16,6,4,21,4,57
BELLE AND MAYO ISLANDS,0,1,1,3,0,2,10,0,61
BELLEMEADE,1,3,22,112,28,45,89,29,347
BELLEVUE,0,1,1,2,5,0,41,5,60
BELMONT WOODS,0,0,2,2,1,1,4,0,15
BELT CENTER,0,1,10,44,9,14,140,11,259
BIOTECH AND MCV DISTRICT,0,1,1,7,0,2,14,4,81
BLACKWELL,0,4,5,51,7,18,69,21,287
BRAUERS,0,0,4,6,1,7,11,6,70
BRITISH CAMP FARMS,1,3,8,55,18,11,73,12,152
BROAD ROCK,2,2,4,57,22,22,66,15,203
BROAD ROCK INDUSTRIAL PARK,0,0,0,4,1,4,7,1,26
BROAD ROCK SPORTS COMPLEX,0,1,1,2,0,3,3,0,5
BROOKBURY,0,0,0,1,2,1,9,1,11
BROOKHAVEN FARMS,1,0,3,6,2,0,12,5,42
BROOKLAND PARK,3,1,4,39,27,20,40,20,169
BRYAN PARK,0,0,0,0,1,1,5,0,13
BYRD PARK,0,0,0,18,5,11,39,3,75
CAPITOL DISTRICT,0,0,0,15,4,4,22,6,187
CARILLON,0,0,0,2,5,0,23,2,38
CARVER,0,2,9,18,29,21,120,7,292
CARYTOWN,0,0,3,32,18,1,90,7,234
CEDARHURST,0,1,4,30,14,2,39,11,107
CENTRAL OFFICE,0,1,2,13,0,3,30,2,114
CHAMBERLAYNE INDUSTRIAL CENTER,0,2,5,43,16,20,48,15,208
CHERRY GARDENS,1,0,1,2,0,2,6,1,21
CHIMBORAZO,1,0,1,19,3,4,36,13,74
CHIPPENHAM FOREST,1,4,6,36,6,10,136,11,177
CHURCH HILL,0,0,6,19,9,9,78,23,153
CHURCH HILL NORTH,0,3,5,54,13,29,88,18,250
CITY CENTER,0,3,4,57,3,14,118,9,273
COFER,1,1,2,23,7,3,28,7,61
COLONIAL PLACE,0,0,1,2,1,0,29,3,46
COMMERCE ROAD INDUSTRIAL AREA,0,0,2,6,0,13,25,4,74
COTTRELL FARMS,0,1,0,5,13,3,14,3,50
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,1,3
CREIGHTON,2,6,13,85,16,57,35,9,293
CULLENWOOD,0,0,0,6,2,1,5,3,16
DAVEE GARDENS,1,2,0,6,5,3,7,1,30
DEERBOURNE,0,0,0,9,7,1,5,2,44
EASTVIEW,0,0,3,12,4,16,13,9,69
EDGEWOOD,0,0,0,11,10,25,13,3,57
ELKHARDT,1,1,11,23,6,4,56,11,128
FAIRFIELD,0,1,5,71,10,45,19,6,229
FAIRMOUNT,0,2,8,53,11,31,50,7,208
FAWNBROOK,0,0,1,6,4,1,4,2,18
FOREST HILL,0,0,0,5,7,0,43,2,45
FOREST HILL PARK,0,0,0,0,0,1,1,1,9
FOREST HILL TERRACE,0,1,3,9,1,2,38,4,58
FOREST VIEW,1,1,2,12,6,2,26,4,61
FULTON,2,9,10,95,34,12,112,28,357
GAMBLES HILL,0,2,2,2,0,4,37,2,47
GILPIN,3,0,20,133,31,146,64,15,610
GINTER PARK,0,7,7,120,47,65,87,25,454
GINTER PARK TERRACE,0,0,0,2,13,1,14,0,19
GRAVEL HILL,1,0,2,6,3,2,45,2,85
GREEN PARK,0,1,1,11,6,9,19,5,57
HICKORY HILL,1,0,2,24,12,2,19,4,90
HIGHLAND PARK SOUTHERN TIP,0,5,4,64,19,26,71,16,189
HIGHLAND TERRACE,1,0,2,23,10,15,18,7,98
HILLSIDE COURT,0,2,4,76,8,18,19,8,177
HIOAKS,1,2,3,48,3,17,54,9,221
HOLLYWOOD CEMETERY,0,0,0,4,1,2,4,1,14
HUGUENOT,0,2,0,8,8,0,16,2,52
JACKSON WARD,0,2,16,48,25,25,192,18,321
JAHNKE,0,2,4,44,19,11,99,31,177
JEFF DAVIS,2,13,21,143,45,86,233,30,678
JOHN MARSHALL,3,4,1,44,8,8,25,8,116
LABURNUM PARK,0,2,0,0,0,1,9,1,17
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,0,3,3,0,25
MALVERN GARDENS,0,0,0,1,1,0,18,3,33
MANCHESTER,0,1,3,22,12,10,89,12,147
MARY MUNFORD,0,0,0,1,1,0,15,0,20
MAURY,0,0,1,4,1,3,16,1,34
MAYMONT,0,0,1,11,4,1,27,3,48
MAYMONT PARK,0,0,0,1,0,0,9,0,2
MCGUIRE,0,2,3,35,27,12,36,10,157
MCGUIRE MANOR,0,2,7,32,28,8,32,14,137
MCGUIRE VETERANS HOSPITAL,1,0,1,10,5,2,10,1,29
MIDLOTHIAN,2,12,16,94,24,110,143,25,586
MONROE WARD,1,6,3,66,13,31,173,16,412
MONUMENT AVENUE PARK,0,0,3,4,0,1,11,10,48
MOSBY,3,2,4,105,14,68,36,14,359
MUSEUMS,0,2,0,11,0,2,26,1,89
NEWTOWNE WEST,0,0,2,17,1,4,13,2,83
NORTH HIGHLAND PARK,1,5,6,64,28,23,56,24,239
NORTHERN BARTON HEIGHTS,2,3,9,67,31,43,114,22,316
NORTHROP,0,5,9,73,9,14,49,15,157
OAK GROVE,1,6,11,74,20,45,61,13,259
OAKWOOD,0,1,4,17,3,4,18,11,95
OAKWOOD CEMETERY,0,3,0,0,1,1,1,0,10
OLD TOWN MANCHESTER,1,0,3,42,4,24,109,34,231
OREGON HILL,0,1,2,7,2,7,16,7,76
OXFORD,0,0,0,12,3,3,27,1,94
PARNELL INDUSTRIAL AREA,0,0,0,0,0,2,8,4,21
PETER PAUL,0,1,1,22,7,7,17,7,129
PINE CAMP,0,0,1,0,3,1,1,0,4
PINEY KNOLLS,1,2,13,61,23,10,52,9,195
POCOSHOCK,0,0,1,4,3,1,8,1,16
POWHITE PARK,0,0,0,1,0,2,1,0,7
PROVIDENCE PARK,1,0,2,31,3,22,29,10,131
RANDOLPH,0,3,4,42,14,14,78,13,224
REEDY CREEK,0,0,0,12,6,3,24,5,75
ROSEDALE,0,0,0,4,4,3,15,2,69
SAUER'S GARDENS,0,1,1,13,5,13,38,6,77
SCOTT'S ADDITION,0,1,1,14,12,3,75,3,172
SHERWOOD PARK,0,0,0,5,5,1,15,3,42
SHOCKOE BOTTOM,2,2,8,69,7,15,202,17,403
SHOCKOE SLIP,0,4,0,41,2,6,48,5,199
SOUTH GARDEN,1,4,9,42,25,7,38,10,146
SOUTHAMPTON,1,0,0,4,3,2,7,0,24
SOUTHERN BARTON HEIGHTS,0,0,2,15,9,6,30,7,88
SOUTHWOOD,2,5,30,86,22,13,46,27,231
STADIUM,1,0,0,2,1,0,5,0,25
STONEWALL COURT,0,0,0,0,1,0,5,3,7
STONY POINT,0,0,0,3,0,0,19,1,37
STRATFORD HILLS,0,0,1,6,7,3,43,1,85
SWANSBORO,0,1,5,55,15,31,134,15,285
SWANSBORO WEST,3,6,3,72,15,26,64,11,270
SWANSON,1,8,6,23,6,3,46,10,98
THE DIAMOND,0,0,1,22,4,10,26,11,126
THE FAN,0,6,9,154,94,30,477,63,903
THE MUSEUM DISTRICT,0,4,1,51,24,7,86,19,279
THREE CHOPT,0,0,0,6,7,2,30,4,74
UNION HILL,0,3,6,38,13,54,58,8,249
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,1
UPPER SHOCKOE VALLEY,0,0,0,20,4,22,21,3,253
VCU,0,0,6,11,3,7,48,5,135
VIRGINIA UNION,0,0,3,53,10,57,56,10,219
WALMSLEY,2,1,4,38,12,11,31,2,78
WARWICK,0,0,0,5,20,1,18,2,43
WASHINGTON PARK,0,2,5,34,8,12,23,5,109
WESTHAMPTON,0,0,0,4,6,1,8,1,42
WESTLAKE HILLS,0,0,2,7,0,0,6,1,32
WESTOVER,0,1,8,39,19,10,47,17,121
WESTOVER HILLS,0,0,0,2,5,1,19,1,40
WESTOVER HILLS WEST,0,0,0,3,1,0,1,0,13
WHITCOMB,4,8,6,97,21,93,47,24,438
WILLOW LAWN,0,0,0,2,2,0,12,1,26
WILLOW OAKS,0,0,0,3,1,0,4,0,9
WILTON,0,0,0,1,0,0,13,1,12
WINDSOR,0,3,9,16,6,1,10,6,49
WINDSOR FARMS,0,0,0,1,3,1,11,2,21
WOODHAVEN,0,0,0,12,8,2,33,5,51
WOODLAND HEIGHTS,0,0,5,22,12,5,131,15,147
WOODVILLE,1,2,6,18,9,19,16,8,81
WORTHINGTON,0,1,2,8,6,0,14,3,21
,0,0,0,0,0,0,1,0,0
