NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,1,1,1,4,2,4,1,22
BEAUFONT,0,0,0,12,2,0,11,0,34
BELLE AND MAYO ISLANDS,0,0,0,4,0,8,5,0,42
BELLEMEADE,1,3,15,104,34,42,82,14,267
BELLEVUE,0,1,0,5,19,7,56,6,54
BELMONT WOODS,0,0,0,2,4,2,4,1,21
BELT CENTER,3,3,7,31,10,28,138,10,253
BIOTECH AND MCV DISTRICT,0,1,2,10,0,13,29,3,136
BLACKWELL,0,3,12,68,42,36,75,16,296
BRAUERS,0,1,3,14,8,15,19,2,53
BRITISH CAMP FARMS,0,3,6,37,9,17,74,8,106
BROAD ROCK,4,4,7,80,25,29,40,11,165
BROAD ROCK INDUSTRIAL PARK,0,0,0,8,4,4,5,2,11
BROAD ROCK SPORTS COMPLEX,0,1,0,2,1,0,6,0,11
BROOKBURY,0,0,0,1,0,0,2,0,8
BROOKHAVEN FARMS,1,0,1,13,4,5,9,1,36
BROOKLAND PARK,0,2,4,76,18,48,55,6,214
BRYAN PARK,0,1,0,0,0,1,3,0,5
BYRD PARK,0,2,0,11,14,4,55,3,62
CAPITOL DISTRICT,0,1,1,10,3,5,35,5,114
CARILLON,0,0,1,4,1,0,29,1,39
CARVER,0,4,8,36,25,24,177,11,265
CARYTOWN,0,1,1,21,14,6,108,5,210
CEDARHURST,1,2,5,27,12,5,28,6,121
CENTRAL OFFICE,1,2,0,10,1,1,11,2,88
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,6,24,14,18,78,6,118
CHERRY GARDENS,0,0,0,3,1,1,5,0,16
CHIMBORAZO,0,0,3,21,19,9,34,7,99
CHIPPENHAM FOREST,0,1,1,34,4,5,144,1,147
CHURCH HILL,0,0,9,25,23,6,69,8,125
CHURCH HILL NORTH,0,4,9,56,28,13,89,12,239
CITY CENTER,1,2,11,50,8,37,113,7,220
COFER,0,0,2,14,9,2,12,3,46
COLONIAL PLACE,0,0,0,3,13,0,16,2,31
COMMERCE ROAD INDUSTRIAL AREA,0,1,2,3,1,4,32,3,45
COTTRELL FARMS,0,1,1,4,8,0,22,5,47
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,0,2
CREIGHTON,0,0,5,81,7,48,21,5,204
CULLENWOOD,1,1,0,8,0,2,9,0,33
DAVEE GARDENS,0,1,1,19,5,1,7,0,34
DEERBOURNE,0,0,0,7,7,2,8,1,32
EASTVIEW,0,1,3,9,3,5,14,4,42
EDGEWOOD,0,1,2,6,17,24,9,2,69
ELKHARDT,0,1,8,33,9,11,38,7,132
FAIRFIELD,1,3,0,73,12,30,19,4,127
FAIRMOUNT,0,3,8,55,15,34,98,7,175
FAWNBROOK,0,0,0,3,1,0,3,1,21
FOREST HILL,0,1,1,7,3,0,12,1,32
FOREST HILL PARK,0,0,0,0,0,0,4,0,7
FOREST HILL TERRACE,0,0,4,7,6,0,10,1,30
FOREST VIEW,0,0,2,10,4,0,15,1,57
FULTON,0,3,28,108,33,31,89,18,291
GAMBLES HILL,0,0,0,2,0,1,14,2,5
GILPIN,1,7,18,162,35,132,94,14,491
GINTER PARK,0,2,13,148,44,114,99,29,440
