NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,2,0,0,0,5,5,2,19
BEAUFONT,1,0,1,17,6,5,9,1,55
BELLE AND MAYO ISLANDS,0,0,1,3,0,9,7,1,64
BELLEMEADE,2,1,14,124,36,43,71,8,333
BELLEVUE,0,0,2,2,14,0,21,4,63
BELMONT WOODS,0,0,0,5,2,3,5,1,16
BELT CENTER,0,1,16,43,9,14,92,16,226
BIOTECH AND MCV DISTRICT,0,2,1,14,1,16,20,4,147
BLACKWELL,1,3,14,80,19,40,75,13,322
BRAUERS,2,1,4,18,14,26,24,3,75
BRITISH CAMP FARMS,0,2,12,34,19,11,37,5,135
BROAD ROCK,1,2,23,89,16,42,51,19,225
BROAD ROCK INDUSTRIAL PARK,0,1,0,1,3,12,10,2,34
BROAD ROCK SPORTS COMPLEX,0,0,0,0,0,0,1,1,13
BROOKBURY,1,0,0,8,7,4,8,0,27
BROOKHAVEN FARMS,0,2,2,21,4,3,6,4,25
BROOKLAND PARK,1,1,3,61,25,43,44,15,190
BRYAN PARK,0,0,0,3,2,3,1,0,18
BYRD PARK,0,0,1,13,11,12,32,3,73
CAPITOL DISTRICT,0,0,2,17,2,8,41,6,133
CARILLON,0,2,0,5,7,4,9,1,41
CARVER,0,0,7,40,12,18,162,7,265
CARYTOWN,0,1,8,31,16,7,89,5,224
CEDARHURST,0,0,8,31,35,17,33,2,97
CENTRAL OFFICE,0,2,3,15,1,0,26,2,70
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,4,24,8,13,36,6,120
CHERRY GARDENS,0,0,0,3,1,0,1,2,19
CHIMBORAZO,2,0,0,29,12,14,36,8,86
CHIPPENHAM FOREST,0,0,2,52,5,12,89,8,162
CHURCH HILL,0,0,3,29,18,11,64,17,159
CHURCH HILL NORTH,1,2,6,63,17,23,56,7,221
CITY CENTER,0,1,8,75,7,83,201,14,323
COFER,1,0,1,9,5,1,15,8,51
COLONIAL PLACE,0,1,0,6,5,1,22,2,22
COMMERCE ROAD INDUSTRIAL AREA,0,0,4,3,4,6,27,3,42
COTTRELL FARMS,0,0,4,15,7,1,18,3,66
COUNTRY CLUB OF VIRGINIA,0,0,0,0,1,0,0,0,2
CREIGHTON,2,6,9,96,27,40,32,10,255
CULLENWOOD,0,0,0,9,4,0,5,0,25
DAVEE GARDENS,0,0,3,22,6,4,14,1,62
DEERBOURNE,0,0,0,5,4,1,7,0,45
EASTVIEW,0,1,7,13,6,4,10,4,49
EDGEWOOD,0,0,1,7,13,3,18,1,39
ELKHARDT,0,2,8,57,3,13,33,8,161
FAIRFIELD,0,2,10,93,30,33,34,5,191
FAIRMOUNT,0,1,9,65,15,41,47,11,197
FAWNBROOK,0,0,0,4,5,2,2,1,20
FOREST HILL,0,1,2,2,13,1,37,3,55
