NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,4,5,0,6,0,16
BEAUFONT,0,2,3,14,3,0,17,6,28
BELLE AND MAYO ISLANDS,0,0,0,0,0,0,1,0,3
BELLEMEADE,0,0,17,165,39,27,148,62,312
BELLEVUE,0,1,5,7,20,1,63,11,52
BELMONT WOODS,0,0,0,6,3,1,5,0,12
BELT CENTER,1,1,30,38,12,10,205,34,425
BIOTECH AND MCV DISTRICT,0,5,3,87,7,45,81,18,2166
BLACKWELL,1,3,21,111,23,39,96,50,501
BRAUERS,1,0,6,29,8,5,20,19,45
BRITISH CAMP FARMS,1,1,24,66,18,6,94,19,143
BROAD ROCK,2,2,10,88,31,35,86,22,210
BROAD ROCK INDUSTRIAL PARK,0,1,5,11,5,2,19,2,27
BROAD ROCK SPORTS COMPLEX,0,0,0,0,0,0,0,0,1
BROOKBURY,1,0,0,1,1,0,8,1,11
BROOKHAVEN FARMS,0,0,1,3,5,0,13,6,8
BROOKLAND PARK,1,0,15,62,16,20,62,40,168
BRYAN PARK,0,1,0,0,0,2,0,0,27
BYRD PARK,1,2,8,24,16,8,47,16,56
CAPITOL DISTRICT,0,0,2,35,7,7,60,4,125
CARILLON,0,2,0,5,6,0,19,9,42
CARVER,0,5,11,41,25,4,83,18,129
CARYTOWN,2,1,13,34,25,4,228,21,215
CEDARHURST,0,1,4,35,17,0,57,21,75
CENTRAL OFFICE,0,1,1,6,2,4,54,5,62
CHAMBERLAYNE INDUSTRIAL CENTER,1,1,17,41,22,13,96,23,121
CHERRY GARDENS,0,1,0,1,1,0,5,0,11
CHIMBORAZO,0,5,13,67,24,20,57,24,152
CHIPPENHAM FOREST,0,4,0,85,21,7,164,35,172
CHURCH HILL,1,2,20,60,77,25,157,66,198
CHURCH HILL NORTH,4,4,13,112,53,46,156,35,403
CITY CENTER,0,1,15,42,23,13,187,12,207
COFER,0,2,1,25,15,1,33,27,52
COLONIAL PLACE,0,0,1,4,10,0,53,4,24
COMMERCE ROAD INDUSTRIAL AREA,0,0,10,15,2,5,71,9,62
COTTRELL FARMS,0,0,5,23,5,5,30,6,40
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,4,1,5
CREIGHTON,2,4,22,123,39,32,82,27,238
CULLENWOOD,0,1,0,16,2,1,6,6,32
DAVEE GARDENS,0,3,2,26,4,0,15,7,36
DEERBOURNE,1,0,4,31,13,4,21,6,68
EASTVIEW,0,2,7,14,5,2,24,18,43
EDGEWOOD,0,1,7,15,5,6,29,11,51
ELKHARDT,0,3,8,51,23,2,77,46,87
FAIRFIELD,1,5,9,138,28,18,56,23,252
FAIRMOUNT,0,5,29,113,28,75,164,64,416
FAWNBROOK,0,1,0,11,7,0,11,1,11
FOREST HILL,0,0,2,4,8,0,79,11,52
FOREST HILL PARK,0,0,0,2,0,0,2,0,2
FOREST HILL TERRACE,0,1,6,14,10,0,80,10,48
FOREST VIEW,0,0,3,10,9,0,37,6,32
FULTON,2,8,7,148,50,48,149,39,352
GAMBLES HILL,0,0,0,0,0,1,9,0,10
GILPIN,4,13,26,222,43,83,119,25,488
GINTER PARK,1,6,41,111,71,40,170,76,281
GINTER PARK TERRACE,0,1,0,4,2,1,9,5,24
GRAVEL HILL,0,0,4,13,7,1,34,3,38
GREEN PARK,0,2,5,12,8,4,21,10,37
HICKORY HILL,1,1,8,28,16,4,38,15,89
HIGHLAND PARK SOUTHERN TIP,2,4,31,152,79,44,125,42,305
HIGHLAND TERRACE,0,1,7,24,25,9,41,21,82
HILLSIDE COURT,3,4,10,117,42,19,68,20,195
HIOAKS,0,1,2,37,15,7,49,10,122
HOLLYWOOD CEMETERY,0,0,0,5,0,3,5,1,5
HUGUENOT,0,0,1,8,6,0,26,1,55
JACKSON WARD,0,2,22,64,30,36,161,33,261
JAHNKE,0,2,10,49,22,5,127,39,119
JEFF DAVIS,4,8,56,237,84,75,277,84,527
JOHN MARSHALL,0,7,7,114,26,10,62,32,114
LABURNUM PARK,0,0,1,6,4,0,15,0,17
MAGNOLIA INDUSTRIAL CENTER,0,0,1,5,4,5,16,0,14
MALVERN GARDENS,0,0,0,5,7,2,25,6,28
MANCHESTER,0,2,5,30,13,5,77,5,114
MARY MUNFORD,0,0,1,3,7,0,23,4,13
MAURY,0,0,6,11,9,10,53,8,36
MAYMONT,0,0,0,18,2,3,17,7,45
MAYMONT PARK,0,0,0,0,2,0,6,0,4
MCGUIRE,0,5,13,63,24,3,65,14,126
MCGUIRE MANOR,1,1,10,29,12,4,38,11,76
MCGUIRE VETERANS HOSPITAL,0,1,0,17,4,0,17,12,34
MIDLOTHIAN,0,4,44,147,45,18,299,53,292
MONROE WARD,0,6,24,84,17,29,249,31,256
MONUMENT AVENUE PARK,0,0,5,3,7,0,69,9,37
MOSBY,0,6,22,183,53,44,82,34,377
MUSEUMS,0,0,1,6,2,7,42,5,66
NEWTOWNE WEST,0,3,5,19,5,10,45,9,54
NORTH HIGHLAND PARK,4,8,23,124,49,48,124,48,285
NORTHERN BARTON HEIGHTS,2,6,55,141,50,49,215,58,529
NORTHROP,0,4,12,80,23,8,82,32,168
