NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
MCGUIRE MANOR,0,3,11,28,7,13,28,7,145
MCGUIRE VETERANS HOSPITAL,0,0,0,8,3,0,9,5,30
MIDLOTHIAN,1,2,12,86,26,95,169,36,718
MONROE WARD,0,11,3,58,4,52,140,9,463
MONUMENT AVENUE PARK,0,0,3,2,1,0,19,4,61
MOSBY,5,4,5,126,12,57,39,14,331
MUSEUMS,0,0,0,18,0,1,23,1,68
NEWTOWNE WEST,0,1,0,18,2,4,27,2,58
NORTH HIGHLAND PARK,2,4,2,51,16,34,56,12,211
NORTHERN BARTON HEIGHTS,1,2,3,77,19,44,103,21,283
NORTHROP,1,3,7,59,11,3,48,11,128
OAK GROVE,2,4,7,61,8,62,69,16,270
OAKWOOD,1,1,1,22,5,9,33,9,64
OAKWOOD CEMETERY,0,2,1,0,0,3,3,1,10
OLD TOWN MANCHESTER,0,2,3,42,7,10,126,25,275
OREGON HILL,0,0,2,9,4,6,31,1,67
OXFORD,0,0,0,6,0,1,25,2,58
PARNELL INDUSTRIAL AREA,0,0,0,2,1,2,7,0,13
PETER PAUL,1,2,3,31,8,7,27,12,280
PINE CAMP,0,0,0,1,0,0,5,0,2
PINEY KNOLLS,2,1,7,56,17,17,53,7,187
POCOSHOCK,0,0,1,5,1,2,2,2,22
POWHITE PARK,0,0,0,0,0,0,2,2,8
PROVIDENCE PARK,1,3,4,23,7,11,21,11,105
RANDOLPH,0,1,4,42,8,6,49,15,199
REEDY CREEK,1,0,3,25,7,6,32,8,76
ROSEDALE,0,0,0,0,0,3,13,5,65
SAUER'S GARDENS,0,1,1,22,3,9,28,16,76
SCOTT'S ADDITION,0,1,1,14,2,4,66,7,164
SHERWOOD PARK,0,1,0,4,3,3,9,4,34
SHOCKOE BOTTOM,3,7,6,70,4,14,224,32,444
SHOCKOE SLIP,0,2,2,35,2,5,43,8,144
SOUTH GARDEN,1,3,7,33,15,14,60,13,140
SOUTHAMPTON,0,0,0,3,0,0,5,0,21
SOUTHERN BARTON HEIGHTS,0,1,1,17,10,7,28,6,72
SOUTHWOOD,0,3,16,79,28,14,57,36,266
STADIUM,0,0,0,5,2,0,3,0,11
STONEWALL COURT,0,0,0,0,0,0,4,1,4
STONY POINT,0,0,0,4,2,0,13,2,49
STRATFORD HILLS,1,0,0,3,7,6,44,1,61
SWANSBORO,2,3,17,58,23,46,152,16,348
SWANSBORO WEST,1,0,8,59,28,31,82,13,291
SWANSON,0,0,5,9,5,10,48,8,110
THE DIAMOND,0,1,3,22,1,21,47,9,166
THE FAN,3,14,21,126,68,27,415,56,803
THE MUSEUM DISTRICT,0,6,2,30,12,3,113,19,288
THREE CHOPT,0,0,0,7,3,0,14,2,67
UNION HILL,2,1,9,54,9,37,87,15,234
UPPER SHOCKOE VALLEY,0,2,0,29,3,11,37,7,218
VCU,0,0,2,20,2,4,38,2,129
VIRGINIA UNION,0,1,6,33,9,72,67,6,243
WALMSLEY,0,1,3,44,18,8,38,5,133
WARWICK,0,1,0,9,2,5,6,2,38
WASHINGTON PARK,0,1,3,29,1,8,16,2,73
WESTHAMPTON,0,0,0,5,2,0,13,2,45
WESTLAKE HILLS,0,0,0,7,0,2,19,3,32
WESTOVER,1,0,2,48,16,17,59,20,135
WESTOVER HILLS,0,0,1,4,3,0,28,3,32
WESTOVER HILLS WEST,0,0,0,0,0,0,2,2,7
WHITCOMB,3,0,5,136,13,56,71,26,408
WILLOW LAWN,0,0,0,3,1,0,12,3,19
WILLOW OAKS,0,0,0,0,3,0,4,2,8
WILTON,1,0,0,0,3,0,3,1,10
WINDSOR,0,0,3,6,2,0,13,1,30
WINDSOR FARMS,0,0,0,2,1,0,10,1,13
WOODHAVEN,0,2,2,16,6,3,25,6,71
WOODLAND HEIGHTS,0,1,3,22,12,8,87,11,140
WOODVILLE,1,0,3,15,3,24,14,6,94
WORTHINGTON,0,0,0,13,4,1,9,3,52
