NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,0,0,6,3,0,24
BEAUFONT,0,0,0,10,4,1,10,4,57
BELLE AND MAYO ISLANDS,0,2,1,1,0,8,7,1,49
BELLEMEADE,0,3,7,92,33,36,90,27,356
BELLEVUE,0,1,0,6,2,0,66,4,60
BELMONT WOODS,0,0,1,2,2,0,3,1,6
BELT CENTER,0,2,2,33,14,23,177,23,291
BIOTECH AND MCV DISTRICT,0,0,0,7,0,5,26,2,61
BLACKWELL,0,6,8,75,14,50,87,18,349
BRAUERS,0,0,2,19,2,11,30,8,95
BRITISH CAMP FARMS,1,1,11,32,13,11,42,5,120
BROAD ROCK,2,2,7,61,26,50,77,15,263
BROAD ROCK INDUSTRIAL PARK,0,0,0,5,3,1,10,0,28
BROAD ROCK SPORTS COMPLEX,0,0,0,5,0,2,2,0,8
BROOKBURY,0,1,0,2,0,0,1,2,15
BROOKHAVEN FARMS,0,1,3,12,8,1,10,3,30
BROOKLAND PARK,1,1,3,22,6,24,36,8,151
BRYAN PARK,0,0,0,1,1,0,3,0,12
BYRD PARK,0,1,2,8,10,4,17,2,61
CAPITOL DISTRICT,0,0,1,13,1,4,18,2,154
CARILLON,0,0,1,6,0,0,11,1,41
CARVER,0,3,7,35,9,14,114,10,274
CARYTOWN,0,0,7,23,11,6,102,2,201
CEDARHURST,1,1,1,35,10,2,47,21,108
CENTRAL OFFICE,0,1,1,8,0,2,23,3,92
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,6,29,3,29,87,11,205
CHERRY GARDENS,0,0,0,2,1,1,4,0,14
CHIMBORAZO,0,3,2,8,4,5,32,9,54
CHIPPENHAM FOREST,0,3,2,60,5,18,111,9,135
CHURCH HILL,0,1,5,15,11,7,70,22,147
CHURCH HILL NORTH,0,0,7,59,9,27,85,24,281
CITY CENTER,0,2,5,60,4,11,139,10,266
COFER,0,1,1,16,10,1,22,4,61
COLONIAL PLACE,0,0,0,2,3,0,21,4,32
COMMERCE ROAD INDUSTRIAL AREA,0,0,2,10,1,10,32,12,72
COTTRELL FARMS,0,0,0,12,5,3,16,4,49
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,4,0,3
CREIGHTON,2,3,9,75,17,24,38,13,225
CULLENWOOD,0,0,0,3,2,0,3,1,15
DAVEE GARDENS,0,0,1,10,3,3,4,4,40
DEERBOURNE,0,1,1,10,5,1,11,7,26
EASTVIEW,0,0,4,16,5,12,33,8,101
EDGEWOOD,0,0,1,5,7,9,9,3,62
ELKHARDT,0,3,1,23,4,8,31,6,97
FAIRFIELD,2,3,4,82,14,34,30,9,217
FAIRMOUNT,2,0,7,46,6,41,95,17,252
FAWNBROOK,0,0,0,4,2,1,3,0,20
FOREST HILL,0,2,0,9,1,1,35,2,61
FOREST HILL PARK,0,1,0,2,0,1,1,0,6
FOREST HILL TERRACE,0,0,6,5,5,4,25,7,59
FOREST VIEW,0,0,4,18,2,1,35,0,52
FULTON,1,3,11,106,39,22,125,32,419
GAMBLES HILL,0,1,0,3,0,2,23,3,37
GILPIN,2,6,5,152,10,119,52,9,540
GINTER PARK,1,3,7,75,21,44,104,9,354
GINTER PARK TERRACE,0,0,0,4,1,5,3,2,28
GRAVEL HILL,0,0,0,10,1,4,47,3,63
GREEN PARK,0,0,2,14,1,20,19,3,65
HICKORY HILL,1,0,2,24,7,10,19,7,99
HIGHLAND PARK SOUTHERN TIP,1,1,7,35,16,54,93,21,198
HIGHLAND TERRACE,0,0,4,19,5,23,22,7,134
HILLSIDE COURT,2,1,0,75,11,17,24,5,234
HIOAKS,1,4,4,40,3,8,46,11,189
HOLLYWOOD CEMETERY,0,0,0,0,0,2,4,1,16
HUGUENOT,0,0,0,10,1,1,12,1,31
JACKSON WARD,0,1,6,44,24,36,161,18,379
JAHNKE,1,2,11,57,7,17,107,30,231
JEFF DAVIS,2,9,13,111,42,49,178,20,597
JOHN MARSHALL,0,3,2,36,4,14,13,5,106
LABURNUM PARK,0,1,0,1,0,1,6,1,16
MAGNOLIA INDUSTRIAL CENTER,0,0,0,2,0,2,0,1,27
MALVERN GARDENS,0,0,0,0,1,0,15,6,26
MANCHESTER,0,1,2,19,5,6,80,12,129
MARY MUNFORD,0,0,0,3,1,0,9,3,32
MAURY,1,0,1,5,3,10,16,4,43
MAYMONT,0,0,0,17,3,5,18,2,40
MAYMONT PARK,0,0,0,0,0,0,6,0,8
MCGUIRE,2,1,4,26,15,11,50,8,136
