NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,3,0,20,5,0,28
BEAUFONT,0,1,1,18,3,8,7,2,58
BELLE AND MAYO ISLANDS,0,2,1,9,0,13,5,2,83
BELLEMEADE,0,2,16,115,31,77,58,20,446
BELLEVUE,0,0,1,8,8,2,27,4,72
BELMONT WOODS,0,0,0,7,1,0,3,0,16
BELT CENTER,0,0,6,38,3,22,114,18,267
BIOTECH AND MCV DISTRICT,0,0,2,16,0,16,22,8,121
BLACKWELL,3,1,15,99,15,60,51,15,333
BRAUERS,0,1,0,22,8,30,8,3,95
BRITISH CAMP FARMS,0,2,9,36,22,16,29,12,149
BROAD ROCK,0,2,13,63,16,61,32,12,289
BROAD ROCK INDUSTRIAL PARK,0,1,5,3,1,5,3,1,35
BROAD ROCK SPORTS COMPLEX,0,0,0,0,0,1,2,0,5
BROOKBURY,0,1,0,3,1,0,2,0,20
BROOKHAVEN FARMS,1,1,2,10,6,3,17,0,61
BROOKLAND PARK,0,2,8,68,21,21,57,5,192
BRYAN PARK,0,0,1,1,0,1,3,0,15
BYRD PARK,0,0,2,23,6,32,18,4,118
CAPITOL DISTRICT,0,1,0,12,3,5,24,6,101
CARILLON,1,0,1,4,2,7,6,0,32
CARVER,0,1,22,48,22,23,220,9,285
CARYTOWN,0,1,10,23,16,13,73,9,199
CEDARHURST,0,0,6,23,17,12,23,7,95
CENTRAL OFFICE,0,1,2,16,2,0,18,2,73
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,3,35,15,6,62,11,115
CHERRY GARDENS,0,0,1,1,3,0,1,3,12
CHIMBORAZO,0,2,1,35,11,13,47,7,116
CHIPPENHAM FOREST,0,1,4,46,19,5,109,10,151
CHURCH HILL,1,2,7,29,27,16,58,23,189
CHURCH HILL NORTH,2,0,6,51,18,52,67,15,287
CITY CENTER,0,0,8,47,11,34,124,9,270
COFER,0,2,2,22,11,1,13,7,65
COLONIAL PLACE,0,1,1,5,19,0,16,3,38
COMMERCE ROAD INDUSTRIAL AREA,0,1,4,6,3,17,13,4,74
COTTRELL FARMS,0,0,2,13,8,1,16,4,58
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,2,0,4
CREIGHTON,1,1,7,88,19,62,25,10,328
CULLENWOOD,0,0,1,9,4,2,3,1,16
DAVEE GARDENS,0,1,2,16,16,8,7,1,73
DEERBOURNE,0,1,2,4,15,6,6,4,46
EASTVIEW,0,0,7,14,3,5,11,3,56
EDGEWOOD,0,0,1,11,5,7,15,3,64
ELKHARDT,0,3,4,34,13,33,30,6,184
FAIRFIELD,2,1,4,79,14,43,22,6,311
FAIRMOUNT,1,3,7,65,17,94,45,16,252
FAWNBROOK,0,0,0,5,3,1,2,2,8
FOREST HILL,0,0,0,4,10,1,30,3,36
FOREST HILL PARK,0,0,0,0,0,0,1,0,1
FOREST HILL TERRACE,0,0,4,19,7,2,16,7,50
FOREST VIEW,0,1,3,22,3,5,23,3,51
FULTON,1,1,14,124,59,33,76,24,399
GAMBLES HILL,0,0,0,1,0,1,7,0,14
GILPIN,1,4,26,236,62,151,59,19,965
GINTER PARK,0,4,27,114,49,43,113,36,348
GINTER PARK TERRACE,0,0,0,8,4,2,5,5,48
GRAVEL HILL,0,1,3,7,4,1,66,3,89
GREEN PARK,1,1,3,6,11,7,13,5,56
HICKORY HILL,0,1,7,33,14,6,27,3,116
HIGHLAND PARK SOUTHERN TIP,0,1,11,84,15,46,53,17,228
HIGHLAND TERRACE,0,0,4,46,8,20,12,7,110
HILLSIDE COURT,1,3,7,91,7,64,15,7,421
HIOAKS,0,0,5,44,4,7,27,5,130
HOLLYWOOD CEMETERY,0,0,0,0,0,0,4,0,9
HUGUENOT,0,0,1,14,3,3,9,0,56
JACKSON WARD,0,0,19,55,27,31,150,21,357
JAHNKE,0,1,8,65,41,11,51,11,206
JEFF DAVIS,0,8,28,181,40,149,101,36,809
JOHN MARSHALL,1,3,7,55,21,13,28,6,154
LABURNUM PARK,0,0,0,0,2,1,11,1,16
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,0,3,14,0,12
MALVERN GARDENS,0,0,1,0,10,0,13,4,25
MANCHESTER,0,3,3,25,8,1,25,6,91
MARY MUNFORD,0,0,0,2,12,0,7,0,27
MAURY,0,0,1,10,6,15,10,1,93
MAYMONT,0,0,2,16,10,8,8,0,54
MAYMONT PARK,0,0,0,1,1,2,4,0,8
MCGUIRE,1,0,5,63,18,17,33,9,168
MCGUIRE MANOR,0,0,4,24,10,9,26,6,123
