NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
SOUTH GARDEN,0,7,14,28,18,3,74,34,88
SOUTHAMPTON,0,0,0,2,1,0,1,0,15
SOUTHERN BARTON HEIGHTS,4,1,3,48,22,35,70,14,96
SOUTHWOOD,2,3,28,71,62,12,108,36,156
STADIUM,0,0,0,3,8,1,5,9,17
STONEWALL COURT,0,0,1,0,5,0,13,0,11
STONY POINT,0,0,0,4,3,0,27,0,24
STRATFORD HILLS,2,1,7,11,19,2,65,3,51
SWANSBORO,2,4,39,117,67,82,187,48,249
SWANSBORO WEST,2,6,14,111,37,32,90,36,175
SWANSON,0,0,6,39,18,4,136,13,75
THE DIAMOND,0,0,3,36,21,11,91,16,80
THE FAN,1,13,85,160,289,31,803,152,1086
THE MUSEUM DISTRICT,0,2,13,56,85,4,216,39,290
THREE CHOPT,0,0,4,12,15,0,56,6,110
UNION HILL,0,8,18,59,28,34,97,38,107
UPPER SHOCKOE VALLEY,0,0,2,18,3,10,67,20,98
VCU,1,1,12,46,18,7,133,16,135
VIRGINIA UNION,0,4,18,50,41,34,100,24,160
WALMSLEY,1,2,2,55,22,19,28,15,100
WARWICK,1,0,2,17,6,0,10,11,34
WASHINGTON PARK,1,3,3,46,7,7,28,18,81
WEST OF THE BOULEVARD,0,4,9,11,10,2,59,17,104
WESTHAMPTON,0,0,6,4,14,1,28,2,36
WESTLAKE HILLS,0,0,1,2,1,0,7,6,29
WESTOVER,0,0,7,52,28,4,60,34,105
WESTOVER HILLS,0,0,4,5,7,1,35,9,33
WESTOVER HILLS WEST,0,0,0,1,4,0,10,0,9
WHITCOMB,1,8,36,162,61,32,121,63,264
WILLOW LAWN,0,1,1,4,2,0,11,5,39
WILLOW OAKS,1,0,0,0,1,0,10,0,5
WILTON,0,0,0,2,1,0,6,0,5
WINDSOR,0,0,7,14,5,1,19,12,24
WINDSOR FARMS,0,0,1,0,2,0,8,0,15
WOODHAVEN,0,0,2,25,7,3,27,10,53
WOODLAND HEIGHTS,0,1,9,24,21,7,155,25,134
WOODVILLE,0,0,6,22,11,16,25,14,54
WORTHINGTON,0,0,3,16,4,1,16,3,19
,0,0,0,3,0,1,0,1,5
