NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,0,0,2,4,0,26
BEAUFONT,1,0,2,7,0,5,11,3,51
BELLE AND MAYO ISLANDS,0,0,0,1,0,2,8,0,13
BELLEMEADE,2,2,7,80,19,25,72,23,254
BELLEVUE,0,0,0,8,13,4,53,3,62
BELMONT WOODS,0,0,0,3,1,0,1,1,10
BELT CENTER,0,1,2,26,14,14,155,14,239
BIOTECH AND MCV DISTRICT,0,0,0,5,0,4,11,4,51
BLACKWELL,1,1,3,64,24,31,82,35,273
BRAUERS,1,0,1,15,2,13,22,5,61
BRITISH CAMP FARMS,1,2,5,25,9,5,45,8,122
BROAD ROCK,0,0,5,59,11,40,55,15,240
BROAD ROCK INDUSTRIAL PARK,0,0,0,6,0,0,6,2,26
BROAD ROCK SPORTS COMPLEX,0,0,0,1,0,0,3,1,13
BROOKBURY,0,0,0,0,1,0,4,1,16
BROOKHAVEN FARMS,0,0,2,9,1,0,11,1,27
BROOKLAND PARK,2,3,6,23,8,10,31,5,99
BRYAN PARK,0,0,0,1,0,0,7,0,7
BYRD PARK,0,0,2,9,3,0,21,6,32
CAPITOL DISTRICT,0,0,1,8,1,3,12,1,106
CARILLON,0,0,0,2,0,0,13,3,19
CARVER,0,1,5,44,14,5,111,5,223
CARYTOWN,0,0,1,21,14,1,84,8,152
CEDARHURST,0,0,1,25,9,0,44,18,89
CENTRAL OFFICE,0,0,0,8,2,2,25,8,71
CHAMBERLAYNE INDUSTRIAL CENTER,0,4,0,25,4,7,73,8,162
CHERRY GARDENS,0,0,1,6,2,3,0,0,6
CHIMBORAZO,0,0,1,19,2,3,37,10,71
CHIPPENHAM FOREST,0,2,3,30,1,9,98,6,92
CHURCH HILL,0,3,2,25,6,4,69,13,132
CHURCH HILL NORTH,3,4,5,56,8,21,74,20,264
