NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,1,0,4,3,1,17
BEAUFONT,0,1,3,14,8,3,6,3,42
BELLE AND MAYO ISLANDS,0,0,0,4,1,8,10,0,63
BELLEMEADE,0,3,5,94,31,32,101,22,325
BELLEVUE,0,0,1,9,20,2,41,3,74
BELMONT WOODS,0,0,0,3,1,1,5,0,16
BELT CENTER,0,2,5,36,14,16,128,3,234
BIOTECH AND MCV DISTRICT,0,0,0,10,0,10,17,1,159
BLACKWELL,0,3,6,75,9,49,58,13,267
BRAUERS,1,0,4,11,5,11,9,7,55
BRITISH CAMP FARMS,0,1,9,35,16,6,61,5,131
BROAD ROCK,0,2,9,63,18,26,48,17,190
BROAD ROCK INDUSTRIAL PARK,0,0,1,2,0,4,6,0,38
BROAD ROCK SPORTS COMPLEX,0,0,1,3,2,0,3,0,4
BROOKBURY,0,1,0,3,3,0,9,0,20
BROOKHAVEN FARMS,0,0,0,12,2,1,11,2,44
BROOKLAND PARK,0,4,8,68,19,25,52,9,152
BRYAN PARK,0,0,0,0,0,0,2,0,7
BYRD PARK,0,0,0,12,6,6,27,5,62
CAPITOL DISTRICT,0,0,3,22,4,7,25,3,138
CARILLON,0,0,0,2,6,2,10,3,35
CARVER,0,3,4,45,18,32,202,5,330
CARYTOWN,0,3,4,29,7,3,91,1,190
CEDARHURST,0,1,3,34,7,11,23,5,86
CENTRAL OFFICE,0,1,2,17,4,5,25,5,109
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,3,51,11,18,78,9,180
CHERRY GARDENS,0,0,0,0,0,1,4,0,5
CHIMBORAZO,1,0,2,17,6,4,34,3,81
CHIPPENHAM FOREST,0,2,2,35,6,4,189,7,140
CHURCH HILL,0,1,4,27,17,9,54,8,143
CHURCH HILL NORTH,0,3,6,72,21,17,76,9,261
CITY CENTER,0,4,3,52,7,27,116,7,225
COFER,1,1,2,17,9,13,21,8,78
COLONIAL PLACE,1,1,0,2,5,0,22,3,35
COMMERCE ROAD INDUSTRIAL AREA,0,1,1,7,4,7,35,3,47
COTTRELL FARMS,0,0,1,12,4,1,15,2,43
