NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,0,3
CREIGHTON,2,1,3,98,18,43,17,12,206
CULLENWOOD,0,1,0,10,3,0,2,1,17
DAVEE GARDENS,1,0,2,13,7,3,6,2,44
DEERBOURNE,0,0,0,16,13,0,12,5,52
EASTVIEW,1,0,2,13,9,10,9,3,57
EDGEWOOD,0,1,2,10,8,23,7,2,64
ELKHARDT,0,1,8,31,6,9,33,2,115
FAIRFIELD,0,3,4,85,23,28,25,4,196
FAIRMOUNT,0,1,1,53,18,42,48,8,158
FAWNBROOK,0,1,0,3,2,0,6,1,23
FOREST HILL,0,0,0,9,1,3,27,3,50
FOREST HILL PARK,0,0,0,0,0,0,1,0,0
FOREST HILL TERRACE,0,1,2,5,6,3,32,9,54
FOREST VIEW,0,2,4,5,1,4,15,3,47
FULTON,2,5,6,103,41,34,93,17,331
GAMBLES HILL,0,0,0,1,0,1,13,1,15
GILPIN,2,7,12,177,46,94,62,17,530
GINTER PARK,1,1,14,144,39,113,133,17,428
GINTER PARK TERRACE,0,0,0,6,1,3,11,1,27
GRAVEL HILL,0,0,3,6,3,4,46,1,74
GREEN PARK,1,0,2,12,14,5,14,5,48
HICKORY HILL,0,1,4,27,15,6,15,7,106
HIGHLAND PARK SOUTHERN TIP,2,1,11,78,26,28,69,20,227
HIGHLAND TERRACE,1,0,6,26,26,14,17,3,84
HILLSIDE COURT,2,2,2,69,10,32,25,9,210
HIOAKS,1,5,2,49,7,12,43,7,157
HOLLYWOOD CEMETERY,0,0,0,4,3,0,4,1,9
HUGUENOT,0,2,1,7,1,0,17,2,63
JACKSON WARD,0,1,11,43,30,40,165,21,315
JAHNKE,2,4,14,58,13,19,74,8,188
JEFF DAVIS,1,4,16,148,71,130,178,33,562
JOHN MARSHALL,1,0,6,48,9,41,36,6,128
LABURNUM PARK,0,0,0,1,1,0,10,2,12
MAGNOLIA INDUSTRIAL CENTER,0,0,0,0,0,4,7,0,22
MALVERN GARDENS,0,1,1,4,6,0,16,1,28
MANCHESTER,0,4,5,28,9,10,61,11,118
MARY MUNFORD,0,1,0,1,4,0,8,1,21
MAURY,1,0,0,5,6,27,15,3,75
MAYMONT,1,0,0,5,5,5,12,2,30
MAYMONT PARK,0,0,0,0,0,1,11,0,9
MCGUIRE,0,2,2,38,22,11,44,5,141
MCGUIRE MANOR,0,1,13,36,10,9,18,5,125
MCGUIRE VETERANS HOSPITAL,0,0,0,4,1,6,8,3,40
MIDLOTHIAN,4,7,14,124,25,83,122,30,474
MONROE WARD,0,6,6,58,19,23,171,11,393
MONUMENT AVENUE PARK,0,0,1,7,4,0,16,2,53
MOSBY,5,1,6,97,7,35,38,5,276
MUSEUMS,0,1,0,20,4,9,46,2,107
NEWTOWNE WEST,0,0,0,7,4,8,19,3,79
NORTH HIGHLAND PARK,0,4,10,81,52,40,72,18,226
NORTHERN BARTON HEIGHTS,0,1,16,85,23,48,142,22,301
NORTHROP,0,1,5,74,9,12,69,16,142
OAK GROVE,0,2,2,55,12,39,42,13,197
OAKWOOD,0,1,4,36,12,5,21,5,74
OAKWOOD CEMETERY,0,0,0,1,0,0,0,0,10
OLD TOWN MANCHESTER,0,3,0,31,7,22,42,7,141
OREGON HILL,0,1,0,15,6,7,26,6,97
OXFORD,0,1,3,25,0,1,18,0,68
PARNELL INDUSTRIAL AREA,0,0,0,0,7,1,3,3,12
PETER PAUL,0,1,2,20,7,6,14,1,58
PINE CAMP,0,0,0,1,0,3,4,0,5
PINEY KNOLLS,0,1,5,64,41,25,68,16,205
POCOSHOCK,0,1,1,5,8,0,6,0,16
POWHITE PARK,0,0,0,0,0,1,1,0,3
PROVIDENCE PARK,2,0,8,39,38,17,39,10,141
RANDOLPH,0,3,5,31,42,14,71,19,187
REEDY CREEK,1,2,0,19,10,7,28,8,53
ROSEDALE,0,0,0,7,5,3,12,2,54
SAUER'S GARDENS,0,0,2,17,8,4,24,6,79
SCOTT'S ADDITION,0,2,3,15,9,11,69,8,136
SHERWOOD PARK,0,0,0,2,1,7,5,3,34
SHOCKOE BOTTOM,0,5,7,46,9,21,119,7,310
SHOCKOE SLIP,0,2,4,56,2,8,33,3,225
SOUTH GARDEN,1,1,3,44,15,15,56,5,172
SOUTHAMPTON,0,0,0,2,1,0,10,0,15
SOUTHERN BARTON HEIGHTS,0,1,2,29,16,9,30,8,96
SOUTHWOOD,1,4,34,89,10,20,45,22,254
STADIUM,0,0,0,3,0,1,6,0,10
STONEWALL COURT,0,0,0,0,0,0,14,0,13
STONY POINT,0,0,0,3,1,2,25,1,27
STRATFORD HILLS,0,2,3,9,13,0,22,1,69
SWANSBORO,0,0,4,51,22,62,89,23,291
SWANSBORO WEST,0,2,4,97,47,27,62,18,256
SWANSON,0,1,5,37,6,7,43,6,133
THE DIAMOND,0,1,0,17,4,15,39,4,146
THE FAN,0,6,22,107,73,43,571,35,832
THE MUSEUM DISTRICT,0,1,3,51,16,4,158,11,278
THREE CHOPT,0,0,2,8,8,2,24,3,64
UNION HILL,0,1,5,41,8,26,50,9,170
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,2
UPPER SHOCKOE VALLEY,0,0,1,11,1,13,18,6,157
VCU,0,0,2,16,2,10,51,5,152
VIRGINIA UNION,0,0,6,26,12,36,47,10,166
WALMSLEY,1,2,4,44,29,4,48,7,114
WARWICK,0,0,0,7,11,1,12,1,38
WASHINGTON PARK,0,2,3,40,6,27,29,7,122
WESTHAMPTON,0,0,1,3,4,0,16,1,46
WESTLAKE HILLS,0,1,1,8,2,1,9,4,35
WESTOVER,0,1,1,50,17,8,28,9,129
WESTOVER HILLS,0,0,2,0,3,2,31,2,32
WESTOVER HILLS WEST,0,0,0,3,1,0,2,0,8
WHITCOMB,2,3,6,133,18,50,44,8,319
WILLOW LAWN,0,0,0,0,3,0,9,1,18
WILLOW OAKS,0,0,0,2,4,0,5,0,15
WILTON,0,0,0,0,3,0,17,1,9
WINDSOR,0,0,7,12,2,10,10,6,38
WINDSOR FARMS,0,0,0,1,2,0,7,0,6
WOODHAVEN,0,2,1,10,10,7,32,2,80
WOODLAND HEIGHTS,0,0,7,31,17,6,99,23,143
WOODVILLE,0,0,4,5,3,11,8,1,68
WORTHINGTON,0,1,1,10,8,2,15,3,34
