NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,1,0,0,1,1,1,7,0,15
BEAUFONT,0,1,0,15,16,1,8,3,43
BELLE AND MAYO ISLANDS,0,0,1,11,0,6,19,1,114
BELLEMEADE,1,1,6,100,62,52,92,13,270
BELLEVUE,0,1,1,10,24,6,68,1,63
BELMONT WOODS,0,0,0,0,2,1,4,0,9
BELT CENTER,1,0,4,30,9,16,145,10,195
BIOTECH AND MCV DISTRICT,0,0,0,10,0,15,20,2,125
BLACKWELL,2,0,18,103,41,38,81,29,284
BRAUERS,0,0,1,21,6,10,22,2,57
BRITISH CAMP FARMS,0,0,2,38,8,8,49,3,117
BROAD ROCK,1,3,5,61,18,40,46,13,169
BROAD ROCK INDUSTRIAL PARK,0,0,1,0,2,10,6,3,35
BROAD ROCK SPORTS COMPLEX,0,0,2,1,0,2,1,0,12
BROOKBURY,0,0,0,3,0,2,1,1,16
BROOKHAVEN FARMS,0,0,1,10,14,5,12,1,43
BROOKLAND PARK,1,2,11,64,12,63,43,3,227
BRYAN PARK,0,0,1,0,0,0,5,0,5
BYRD PARK,0,1,0,12,8,12,27,5,76
CAPITOL DISTRICT,0,0,1,12,1,8,32,0,129
CARILLON,0,0,0,3,0,1,19,1,34
CARVER,0,1,19,28,20,15,185,11,318
CARYTOWN,0,1,9,29,5,14,89,6,224
CEDARHURST,0,1,4,28,19,2,36,5,91
CENTRAL OFFICE,0,0,2,8,0,0,18,1,71
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,2,26,6,15,43,7,176
CHERRY GARDENS,0,0,0,0,0,0,0,1,9
CHIMBORAZO,0,0,3,22,7,13,28,5,85
CHIPPENHAM FOREST,0,1,4,42,8,6,100,7,100
CHURCH HILL,0,1,8,28,10,8,72,9,194
CHURCH HILL NORTH,2,0,8,69,17,17,81,18,221
CITY CENTER,0,2,14,65,5,44,136,9,380
COFER,1,0,3,16,8,3,15,3,42
COLONIAL PLACE,0,0,0,2,30,0,19,1,38
COMMERCE ROAD INDUSTRIAL AREA,0,0,1,6,2,9,22,4,55
COTTRELL FARMS,0,0,1,8,4,3,8,4,34
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,4,0,7
CREIGHTON,1,2,2,104,17,72,29,8,221
CULLENWOOD,0,0,1,8,5,0,7,1,17
DAVEE GARDENS,0,0,1,9,8,0,15,4,40
DEERBOURNE,0,0,0,10,2,2,10,1,22
EASTVIEW,0,0,3,7,2,10,20,6,52
EDGEWOOD,0,0,0,12,12,21,16,5,64
ELKHARDT,0,1,9,38,17,9,45,5,120
FAIRFIELD,0,1,10,88,17,65,40,6,242
FAIRMOUNT,0,1,9,60,10,31,72,17,198
FAWNBROOK,0,0,0,4,2,0,1,2,16
FOREST HILL,0,1,1,1,9,2,26,2,38
FOREST HILL PARK,0,0,0,0,0,0,4,0,3
FOREST HILL TERRACE,0,1,1,7,16,2,22,2,35
FOREST VIEW,0,3,0,10,10,3,26,2,53
FULTON,1,2,13,82,48,14,98,18,294
GAMBLES HILL,0,0,1,2,1,1,8,0,19
GILPIN,2,5,15,260,32,212,94,13,804
