NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,0,0,2,3,3,19
BEAUFONT,0,0,1,9,2,3,17,4,46
BELLE AND MAYO ISLANDS,0,0,1,4,0,3,7,0,47
BELLEMEADE,1,4,14,113,51,25,67,17,328
BELLEVUE,0,1,1,6,10,2,35,8,75
BELMONT WOODS,0,0,0,4,2,0,1,0,15
BELT CENTER,0,0,5,33,13,15,172,13,254
BIOTECH AND MCV DISTRICT,0,0,1,19,2,3,13,1,108
BLACKWELL,1,5,9,55,5,25,69,18,270
BRAUERS,0,0,1,13,7,11,13,10,74
BRITISH CAMP FARMS,1,2,11,43,14,10,64,11,143
BROAD ROCK,0,3,13,55,18,15,44,15,196
BROAD ROCK INDUSTRIAL PARK,0,0,0,7,2,8,4,2,35
BROAD ROCK SPORTS COMPLEX,0,0,0,2,1,2,6,1,8
BROOKBURY,0,0,0,2,1,1,9,2,22
BROOKHAVEN FARMS,0,0,2,14,2,2,15,3,54
BROOKLAND PARK,1,1,9,51,23,41,36,12,180
BRYAN PARK,0,0,0,2,0,0,3,0,10
BYRD PARK,0,2,1,8,4,3,22,5,68
CAPITOL DISTRICT,1,0,1,29,0,10,28,4,184
CARILLON,0,0,1,6,3,0,12,2,36
CARVER,1,2,11,51,28,22,121,9,281
CARYTOWN,0,0,5,32,11,2,112,7,213
CEDARHURST,2,2,2,33,10,3,34,13,105
CENTRAL OFFICE,0,2,4,9,1,2,44,2,106
CHAMBERLAYNE INDUSTRIAL CENTER,0,2,6,45,22,26,69,15,232
CHERRY GARDENS,0,0,0,0,1,0,4,1,12
CHIMBORAZO,0,2,2,19,6,4,34,8,90
CHIPPENHAM FOREST,0,0,2,33,5,15,169,13,154
CHURCH HILL,0,2,4,29,12,4,73,14,117
CHURCH HILL NORTH,2,2,1,67,9,16,78,19,242
CITY CENTER,0,2,8,44,10,46,116,10,274
COFER,1,1,0,18,17,1,28,5,64
COLONIAL PLACE,0,0,1,1,7,0,25,5,49
COMMERCE ROAD INDUSTRIAL AREA,0,0,3,11,3,7,23,3,74
COTTRELL FARMS,0,1,0,14,5,1,23,2,53
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,1,0,4
CREIGHTON,1,2,3,81,17,42,28,12,278
CULLENWOOD,0,0,0,10,5,2,7,0,19
DAVEE GARDENS,0,0,0,13,5,4,7,3,31
DEERBOURNE,0,0,1,12,12,2,12,3,49
EASTVIEW,1,0,3,19,2,12,14,8,45
EDGEWOOD,0,1,1,19,9,12,11,9,76
ELKHARDT,2,4,6,23,1,2,19,17,113
FAIRFIELD,0,2,2,62,5,43,30,14,207
FAIRMOUNT,1,3,8,51,13,26,64,18,233
FAWNBROOK,0,1,0,1,6,0,6,2,19
FOREST HILL,0,0,0,5,5,3,30,4,52
FOREST HILL PARK,0,1,0,1,0,0,2,0,3
FOREST HILL TERRACE,0,0,5,4,3,1,21,2,71
FOREST VIEW,0,2,3,13,3,4,13,3,56
FULTON,3,3,15,95,46,16,101,35,324
GAMBLES HILL,0,0,0,4,0,0,38,3,36
GILPIN,4,7,15,163,36,131,62,17,607
GINTER PARK,3,3,13,135,47,57,79,20,451
GINTER PARK TERRACE,0,0,0,1,1,9,6,1,26
GRAVEL HILL,0,1,3,8,3,4,67,2,67
GREEN PARK,0,0,2,7,13,6,14,3,45
HICKORY HILL,0,0,9,16,5,4,11,9,69
HIGHLAND PARK SOUTHERN TIP,0,3,6,62,25,14,57,16,175
HIGHLAND TERRACE,1,4,1,22,17,20,14,2,88
HILLSIDE COURT,1,4,6,81,12,28,23,11,203
HIOAKS,0,2,1,52,6,5,42,9,163
HOLLYWOOD CEMETERY,0,1,0,2,1,1,6,1,19
HUGUENOT,0,1,0,8,4,0,19,4,50
JACKSON WARD,1,2,18,59,19,36,140,18,332
JAHNKE,0,5,6,44,18,13,78,27,180
JEFF DAVIS,2,5,32,155,58,101,208,45,607
JOHN MARSHALL,0,2,4,45,9,17,30,9,114
LABURNUM PARK,0,0,0,0,5,1,16,0,24
MAGNOLIA INDUSTRIAL CENTER,0,0,0,0,0,1,1,0,19
MALVERN GARDENS,0,0,0,4,4,0,34,7,46
MANCHESTER,0,1,4,26,12,8,59,6,109
MARY MUNFORD,1,0,0,0,2,1,13,8,20
MAURY,0,0,0,7,2,5,4,0,28
MAYMONT,0,0,1,17,5,3,30,3,112
MAYMONT PARK,0,0,0,0,0,0,12,1,5
MCGUIRE,0,1,5,38,20,7,32,9,118
MCGUIRE MANOR,0,2,6,36,10,3,19,10,116
MCGUIRE VETERANS HOSPITAL,0,2,0,3,6,0,12,4,41
MIDLOTHIAN,4,7,18,126,14,109,135,28,514
MONROE WARD,0,4,5,60,8,39,168,15,377
MONUMENT AVENUE PARK,0,1,0,4,3,0,19,5,56
MOSBY,0,2,8,112,28,47,41,13,367
MUSEUMS,0,0,1,17,4,8,29,0,104
NEWTOWNE WEST,0,1,1,15,1,3,44,5,89
NORTH HIGHLAND PARK,1,2,1,86,49,40,66,30,267
NORTHERN BARTON HEIGHTS,0,3,15,75,23,68,148,28,301
NORTHROP,2,1,11,86,22,19,50,11,176
OAK GROVE,2,2,9,56,20,35,45,21,204
OAKWOOD,0,1,5,31,14,9,29,7,86
OAKWOOD CEMETERY,0,0,0,2,0,2,2,0,11
OLD TOWN MANCHESTER,0,0,3,34,6,3,60,21,142
OREGON HILL,0,2,1,8,6,4,29,4,66
OXFORD,0,0,1,21,5,1,27,2,78
PARNELL INDUSTRIAL AREA,0,0,0,0,0,15,7,0,7
PETER PAUL,0,1,0,26,6,5,12,10,119
PINE CAMP,0,0,0,1,1,0,1,2,6
PINEY KNOLLS,2,3,7,73,34,16,49,10,176
POCOSHOCK,0,1,0,5,4,2,3,0,24
POWHITE PARK,0,0,0,0,0,0,0,0,6
PROVIDENCE PARK,1,0,4,56,16,15,30,18,110
RANDOLPH,0,2,4,30,28,7,53,17,185
REEDY CREEK,0,1,1,22,25,6,35,3,79
ROSEDALE,0,0,0,3,4,3,17,6,57
SAUER'S GARDENS,0,3,2,9,4,3,19,5,85
SCOTT'S ADDITION,0,2,1,25,7,3,72,8,175
SHERWOOD PARK,0,0,0,2,6,2,9,2,31
SHOCKOE BOTTOM,0,1,7,48,2,13,116,20,349
SHOCKOE SLIP,0,2,2,38,2,5,44,10,210
SOUTH GARDEN,0,2,10,39,19,9,43,12,188
SOUTHAMPTON,0,0,0,0,0,1,7,0,20
SOUTHERN BARTON HEIGHTS,0,3,6,23,11,12,32,8,88
SOUTHWOOD,1,4,29,69,8,8,46,22,199
STADIUM,0,0,0,1,1,0,0,2,7
STONEWALL COURT,0,0,0,1,4,0,9,2,9
STONY POINT,0,1,0,8,0,1,41,0,44
STRATFORD HILLS,0,2,0,9,9,1,34,1,79
SWANSBORO,2,2,7,71,15,31,96,17,254
SWANSBORO WEST,5,4,8,80,36,24,59,6,293
SWANSON,0,4,7,24,8,10,49,7,144
THE DIAMOND,0,2,3,19,9,7,43,7,128
THE FAN,0,10,15,112,65,17,433,79,850
THE MUSEUM DISTRICT,0,1,3,56,19,6,122,24,307
THREE CHOPT,0,2,1,7,5,0,45,1,70
UNION HILL,1,1,4,30,2,20,61,15,185
UPPER SHOCKOE VALLEY,0,0,5,21,3,15,23,5,216
VCU,0,1,0,23,6,6,43,3,152
VIRGINIA UNION,1,0,5,55,12,40,69,14,165
WALMSLEY,1,1,3,36,16,7,31,5,95
WARWICK,0,1,1,12,6,0,13,4,38
WASHINGTON PARK,0,2,4,39,14,14,28,9,98
WESTHAMPTON,0,0,2,3,4,0,23,8,42
WESTLAKE HILLS,0,0,0,6,2,1,8,3,30
WESTOVER,0,1,3,32,23,7,47,17,154
WESTOVER HILLS,1,1,1,1,8,4,19,4,34
WESTOVER HILLS WEST,0,0,0,0,1,0,9,2,18
WHITCOMB,3,4,10,103,27,64,56,24,373
WILLOW LAWN,0,0,1,1,1,0,21,3,19
WILLOW OAKS,0,1,0,1,0,0,3,1,13
WILTON,0,0,0,0,0,0,6,1,11
WINDSOR,0,2,3,18,18,4,10,11,52
WINDSOR FARMS,0,0,0,0,1,0,13,3,15
WOODHAVEN,1,1,2,20,8,9,18,5,71
WOODLAND HEIGHTS,0,2,5,22,20,5,122,12,141
WOODVILLE,2,0,4,10,3,12,14,5,69
WORTHINGTON,0,1,2,12,12,2,11,2,42
