NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
SHOCKOE SLIP,0,2,2,10,4,1,72,8,91
SOUTH GARDEN,0,6,18,58,18,2,117,29,117
SOUTHAMPTON,0,0,1,1,1,0,7,0,12
SOUTHERN BARTON HEIGHTS,1,2,12,43,30,22,65,14,131
SOUTHWOOD,3,10,30,75,80,4,144,57,189
STADIUM,0,0,0,6,6,0,16,1,22
STONEWALL COURT,0,0,0,0,3,0,25,1,17
STONY POINT,0,0,0,0,1,0,5,0,10
STRATFORD HILLS,2,1,2,16,11,1,102,11,58
SWANSBORO,4,7,30,135,48,83,196,62,286
SWANSBORO WEST,4,5,8,107,51,31,137,42,267
SWANSON,1,2,10,37,19,8,147,16,80
THE DIAMOND,0,1,7,19,15,5,95,12,89
THE FAN,1,17,72,196,270,42,1067,103,1356
THE MUSEUM DISTRICT,0,0,14,34,49,0,178,19,186
THREE CHOPT,0,0,3,8,20,0,65,3,87
UNION HILL,0,3,9,68,21,23,85,20,137
UPPER SHOCKOE VALLEY,0,1,5,18,1,7,55,17,178
VCU,0,2,9,26,17,1,146,10,146
VIRGINIA UNION,0,3,20,46,32,45,144,19,166
WALMSLEY,1,2,6,67,14,13,37,18,129
WARWICK,0,0,3,13,4,1,18,9,36
WASHINGTON PARK,0,6,1,35,18,5,42,10,68
WEST OF THE BOULEVARD,1,1,17,26,52,4,147,16,173
WESTHAMPTON,0,0,5,7,15,0,40,1,32
WESTLAKE HILLS,0,0,0,7,1,1,6,0,16
WESTOVER,0,3,2,56,27,3,74,20,98
WESTOVER HILLS,0,0,2,8,7,0,38,6,23
WESTOVER HILLS WEST,0,0,0,2,1,0,5,2,14
WHITCOMB,2,6,23,164,45,22,84,29,290
WILLOW LAWN,0,0,0,5,1,0,12,1,21
WILLOW OAKS,0,0,1,0,2,0,13,0,11
WILTON,0,0,0,1,4,1,19,1,12
WINDSOR,1,1,14,27,9,6,39,16,69
WINDSOR FARMS,0,0,0,4,12,0,47,3,24
WOODHAVEN,0,4,5,17,11,1,38,5,59
WOODLAND HEIGHTS,1,2,7,30,28,4,263,43,163
WOODVILLE,0,2,7,20,10,18,42,9,58
WORTHINGTON,0,0,2,9,3,0,21,7,26
,1,1,2,10,2,0,6,3,9
