Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
22102,22146.0,40.2,112427.0,82461.0,824.0,3.7207622143953762
22181,15008.0,39.2,150929.0,62724.0,766.0,5.103944562899787
22182,26044.0,42.2,160631.0,68905.0,851.0,3.267547227768392
22201,34069.0,31.0,113683.0,75255.0,2037.0,5.97904253133347
22306,31996.0,35.0,61975.0,33122.0,4118.0,12.870358794849356
22311,18648.0,35.2,66319.0,37348.0,1788.0,9.588159588159588
22312,29836.0,34.2,76845.0,36048.0,3234.0,10.839254591768334
22405,29763.0,36.8,84528.0,35980.0,1674.0,5.624433020864832
22971,1652.0,43.0,47028.0,17832.0,248.0,15.012106537530267
22942,8368.0,44.0,56750.0,28926.0,970.0,11.591778202676863
22946,279.0,24.7,89583.0,29554.0,0.0,0.0
22949,1165.0,56.8,24939.0,41301.0,262.0,22.489270386266096
22989,123.0,45.5,-666666666.0,32944.0,0.0,0.0
22043,25910.0,35.6,103972.0,48915.0,1388.0,5.357005017367812
22180,23941.0,38.5,127205.0,53471.0,948.0,3.959734346936218
22202,21004.0,35.1,110092.0,74763.0,1109.0,5.279946676823462
22940,1057.0,44.6,54514.0,45530.0,149.0,14.096499526963104
22952,2088.0,46.3,43095.0,23158.0,118.0,5.6513409961685825
22974,5881.0,39.6,78952.0,29037.0,582.0,9.896276143513008
22937,1857.0,36.6,45893.0,20336.0,538.0,28.971459343026385
22042,32356.0,36.4,94135.0,42970.0,1961.0,6.0606997156632465
22079,32986.0,34.8,99025.0,41435.0,1146.0,3.4742011762565936
22153,31906.0,38.5,135641.0,49164.0,1511.0,4.7357863724691285
22203,22929.0,32.1,95410.0,58123.0,2332.0,10.170526407606088
22205,17882.0,39.4,140819.0,61687.0,594.0,3.321776087685941
22207,33057.0,38.5,169636.0,77782.0,703.0,2.1266297607163382
22211,895.0,22.2,25000.0,23302.0,24.0,2.6815642458100557
22407,56381.0,35.8,78164.0,31502.0,4346.0,7.708270516663415
24589,2254.0,44.3,21646.0,15935.0,650.0,28.83762200532387
24601,45.0,54.6,-666666666.0,10338.0,0.0,0.0
24604,643.0,35.0,22719.0,10400.0,236.0,36.70295489891135
24605,8426.0,44.6,44083.0,26368.0,1098.0,13.031094232138619
24612,138.0,56.8,55357.0,33782.0,0.0,0.0
24631,2096.0,48.9,31354.0,17630.0,285.0,13.59732824427481
24634,711.0,48.4,42292.0,15555.0,45.0,6.329113924050633
24641,5982.0,42.3,33788.0,19085.0,1093.0,18.271481109996657
24354,15271.0,44.5,37673.0,22872.0,2778.0,18.191343068561327
24378,1412.0,53.0,32926.0,17143.0,163.0,11.543909348441927
24435,2264.0,47.5,61679.0,30958.0,138.0,6.095406360424028
24458,469.0,58.9,52292.0,26384.0,27.0,5.756929637526652
24431,2489.0,42.7,34939.0,20746.0,513.0,20.610687022900763
24381,3522.0,42.9,32399.0,20934.0,328.0,9.312890403180011
24421,3439.0,50.2,53750.0,34101.0,224.0,6.513521372492003
24442,137.0,46.4,26875.0,19495.0,67.0,48.90510948905109
20197,1482.0,43.1,136677.0,61140.0,37.0,2.496626180836707
20111,31845.0,33.4,85829.0,31078.0,2414.0,7.580467891348721
20115,6006.0,44.6,70845.0,45510.0,314.0,5.228105228105228
20169,20792.0,38.1,139508.0,50601.0,425.0,2.0440554059253557
20176,47889.0,35.5,113668.0,45608.0,2266.0,4.731775564325837
20109,36470.0,30.6,65017.0,27944.0,3664.0,10.046613655058952
20137,1422.0,45.5,108333.0,47312.0,20.0,1.4064697609001406
20118,8.0,56.0,-666666666.0,25663.0,0.0,0.0
20119,4197.0,43.1,111339.0,42333.0,121.0,2.8830116750059567
20130,247.0,57.5,51458.0,42144.0,38.0,15.384615384615385
20132,17262.0,37.4,129180.0,44582.0,704.0,4.078322326497509
20152,26591.0,33.7,144250.0,47880.0,833.0,3.1326388627731188
20155,31724.0,35.8,127974.0,46480.0,944.0,2.9756651115874417
20105,12468.0,32.6,127464.0,46006.0,155.0,1.2431825473211422
20166,9857.0,33.7,106797.0,43608.0,641.0,6.502992796997058
20175,29156.0,36.0,112815.0,47154.0,1023.0,3.508711757442722
20186,14892.0,42.4,78161.0,38522.0,1262.0,8.474348643567016
20191,28968.0,39.1,108013.0,50231.0,2485.0,8.57843137254902
20194,13501.0,39.0,131926.0,74887.0,482.0,3.570105918080142
20106,5439.0,42.0,80031.0,34301.0,160.0,2.9417172274315133
20112,26017.0,40.2,139902.0,47156.0,1064.0,4.089633701041627
20120,41732.0,35.5,111272.0,47233.0,2261.0,5.417904725390588
20129,712.0,42.5,180481.0,66474.0,61.0,8.567415730337078
20136,30283.0,32.3,128444.0,39742.0,518.0,1.7105306607667667
20143,1081.0,42.8,139938.0,51051.0,26.0,2.4051803885291396
20148,31453.0,32.3,161433.0,52835.0,366.0,1.163640988141036
20151,21744.0,34.2,122054.0,44788.0,1913.0,8.797829286239882
20165,33306.0,37.5,129827.0,53220.0,542.0,1.6273344142196602
20170,41673.0,35.3,104371.0,42213.0,2771.0,6.6493892928274905
20171,47565.0,34.1,141433.0,56548.0,1459.0,3.0673814779775044
20190,18127.0,37.8,94806.0,57093.0,1766.0,9.742373255364924
20198,2248.0,45.9,61837.0,40392.0,308.0,13.701067615658364
20110,45480.0,33.1,75584.0,29563.0,5076.0,11.160949868073878
20121,28902.0,31.8,92115.0,38493.0,1583.0,5.477129610407585
20124,16278.0,39.1,167400.0,58001.0,482.0,2.9610517262562968
20181,7891.0,41.3,108438.0,41387.0,491.0,6.222278545178051
20184,888.0,48.1,174526.0,70546.0,0.0,0.0
20144,1289.0,47.0,115667.0,52703.0,0.0,0.0
20135,2898.0,42.9,90083.0,47781.0,113.0,3.899240855762595
20164,36808.0,32.9,87288.0,32893.0,2668.0,7.24842425559661
20180,5990.0,41.6,123594.0,52738.0,170.0,2.8380634390651087
24501,26605.0,29.7,29916.0,16498.0,7328.0,27.543694794211614
24521,10582.0,45.7,43420.0,22210.0,1611.0,15.223965223965225
24526,1292.0,48.6,48546.0,25001.0,140.0,10.8359133126935
24530,1132.0,49.1,36786.0,19053.0,155.0,13.692579505300353
24534,1537.0,53.2,28051.0,18292.0,348.0,22.641509433962263
24536,146.0,57.3,58250.0,21749.0,34.0,23.28767123287671
24539,61.0,59.5,32308.0,23320.0,12.0,19.672131147540984
24566,1546.0,42.2,40027.0,17146.0,376.0,24.320827943078914
24571,2012.0,44.7,39491.0,20418.0,258.0,12.823061630218687
24363,1241.0,49.2,32083.0,16910.0,191.0,15.39081385979049
24283,2206.0,46.3,40026.0,22048.0,550.0,24.932003626473254
24319,7398.0,38.8,36520.0,17581.0,1352.0,18.27520951608543
24324,2211.0,44.5,51051.0,24793.0,317.0,14.337403889642696
24370,6228.0,44.5,33340.0,18073.0,1233.0,19.797687861271676
24597,1301.0,44.4,40368.0,18306.0,127.0,9.761721752498078
24313,1209.0,34.5,26741.0,15598.0,450.0,37.220843672456574
24314,1524.0,42.1,56858.0,24861.0,231.0,15.15748031496063
24316,26.0,-666666666.0,-666666666.0,,0.0,0.0
24317,4335.0,39.2,30955.0,15694.0,910.0,20.991926182237602
24318,792.0,49.6,47260.0,26347.0,88.0,11.11111111111111
24352,923.0,54.5,33182.0,18544.0,206.0,22.318526543878658
24366,473.0,51.6,44917.0,25636.0,39.0,8.24524312896406
24019,26904.0,41.0,62912.0,28152.0,1969.0,7.318614332441273
24054,6658.0,42.2,36909.0,18008.0,1114.0,16.731751276659658
24055,12890.0,44.4,31013.0,17985.0,2914.0,22.6066718386346
24069,1627.0,47.8,47957.0,23507.0,100.0,6.146281499692686
24070,1504.0,44.1,63438.0,25311.0,232.0,15.425531914893616
